original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top6_match,top6_score,top7_match,top7_score,top8_match,top8_score,top9_match,top9_score,top10_match,top10_score,top11_match,top11_score,top12_match,top12_score,top13_match,top13_score,top14_match,top14_score,top15_match,top15_score,top16_match,top16_score,top17_match,top17_score,top18_match,top18_score,top19_match,top19_score,top20_match,top20_score,updated_value,top1_accuracy,top3_accuracy,top5_accuracy
CHRONIC MYELOGENOUS LEUKEMIA CML,"Chronic Myeloid Leukemia, BCR-ABL1 Positive",11,2,Chronic Myelomonocytic Leukemia,0.7973,Chronic Monocytic Leukemia,0.7679,Atypical Chronic Myeloid Leukemia,0.7671,Chronic Leukemia,0.7575,Myeloproliferative Chronic Myelomonocytic Leukemia,0.7518,Myelodysplastic Chronic Myelomonocytic Leukemia,0.7448,Chronic Neutrophilic Leukemia,0.7331,Chronic Myelomonocytic Leukemia-1,0.7161,Chronic Myelomonocytic Leukemia-2,0.7006,Chronic Lymphocytic Leukemia,0.7002,"Chronic Myeloid Leukemia, BCR-ABL1 Positive",0.6841,"Chronic Phase Chronic Myeloid Leukemia, BCR-ABL1 Positive",0.6727,Myeloid Leukemia,0.6677,Philadelphia Chromosome Negative BCR-ABL1 Negative Chronic Myelogenous Leukemia,0.6676,Aleukemic Chronic Lymphocytic Leukemia,0.6554,"Chronic Myeloid Leukemia, Philadelphia Chromosome Negative, BCR-ABL1 Positive",0.6439,Chronic Myelomonocytic Leukemia-0,0.6368,"Chronic Phase Chronic Myeloid Leukemia, Philadelphia Chromosome Positive, BCR-ABL1 Positive",0.6357,Refractory Chronic Myelomonocytic Leukemia,0.6352,"Childhood Chronic Myeloid Leukemia, BCR-ABL1 Positive",0.6307,CHRONIC MYELOGENOUS LEUKEMIA CML,False,False,False
"CHRONIC MYELOID LEUKEMIA, BCR-ABL1+","Chronic Myeloid Leukemia, BCR-ABL1 Positive",1,2,"Chronic Myeloid Leukemia, BCR-ABL1 Positive",0.9776,"Chronic Phase Chronic Myeloid Leukemia, BCR-ABL1 Positive",0.9287,"Chronic Myeloid Leukemia, Philadelphia Chromosome Positive, BCR-ABL1 Positive",0.9223,"Chronic Myeloid Leukemia, Philadelphia Chromosome Negative, BCR-ABL1 Positive",0.9018,"Chronic Phase Chronic Myeloid Leukemia, Philadelphia Chromosome Positive, BCR-ABL1 Positive",0.8817,"Childhood Chronic Myeloid Leukemia, BCR-ABL1 Positive",0.8738,"Blast Phase Chronic Myeloid Leukemia, BCR-ABL1 Positive",0.8631,Acute Myeloid Leukemia with BCR-ABL1,0.8365,"Accelerated Phase Chronic Myeloid Leukemia, BCR-ABL1 Positive",0.8357,Philadelphia Chromosome Negative BCR-ABL1 Negative Chronic Myelogenous Leukemia,0.8160,"Refractory Chronic Myeloid Leukemia, BCR-ABL1 Positive",0.7916,"Recurrent Chronic Myeloid Leukemia, BCR-ABL1 Positive",0.7456,"Meningeal Chronic Myeloid Leukemia, BCR-ABL1 Positive",0.7428,"Splenic Manifestation of Chronic Myeloid Leukemia, BCR-ABL1 Positive",0.7408,Myeloid/Lymphoid Neoplasms with ETV6-ABL1,0.7240,"B Acute Lymphoblastic Leukemia, BCR-ABL1-Like",0.7168,"Refractory Accelerated Phase Chronic Myeloid Leukemia, BCR-ABL1 Positive",0.7106,Mixed Phenotype Acute Leukemia with BCR-ABL1 Fusion,0.7104,"Myeloproliferative Neoplasm, BCR-ABL1 Negative",0.7084,"B Lymphoblastic Leukemia/Lymphoma, BCR-ABL1-Like",0.7050,"CHRONIC MYELOID LEUKEMIA, BCR-ABL1+",True,True,True
CHRONIC MYELOMONOCYTIC LEUKAEMIA,Chronic Myelomonocytic Leukemia,1,2,Chronic Myelomonocytic Leukemia,0.9859,Myelodysplastic Chronic Myelomonocytic Leukemia,0.8737,Chronic Monocytic Leukemia,0.8642,Myeloproliferative Chronic Myelomonocytic Leukemia,0.8500,Chronic Myelomonocytic Leukemia-1,0.8265,Chronic Myelomonocytic Leukemia-2,0.8079,Chronic Myelomonocytic Leukemia-0,0.7769,Chronic Myelomonocytic Leukemia with Eosinophilia,0.7691,Acute Myelomonocytic Leukemia,0.7630,Juvenile Myelomonocytic Leukemia,0.7532,Atypical Chronic Myeloid Leukemia,0.7370,Chronic Neutrophilic Leukemia,0.7137,Recurrent Chronic Myelomonocytic Leukemia,0.7136,Chronic Leukemia,0.6970,Adult Acute Myelomonocytic Leukemia,0.6947,Refractory Chronic Myelomonocytic Leukemia,0.6913,Juvenile Myelomonocytic Leukemia-Like Neoplasm,0.6738,Childhood Acute Myelomonocytic Leukemia,0.6726,Chronic Lymphocytic Leukemia,0.6646,Myeloid Leukemia,0.6620,CHRONIC MYELOMONOCYTIC LEUKAEMIA,True,True,True
CHRONIC MYELOMONOCYTIC LEUKEMIA,Chronic Myelomonocytic Leukemia,1,2,Chronic Myelomonocytic Leukemia,1.0000,Myelodysplastic Chronic Myelomonocytic Leukemia,0.8744,Chronic Monocytic Leukemia,0.8742,Myeloproliferative Chronic Myelomonocytic Leukemia,0.8611,Chronic Myelomonocytic Leukemia-1,0.8593,Chronic Myelomonocytic Leukemia-2,0.8290,Acute Myelomonocytic Leukemia,0.7902,Chronic Myelomonocytic Leukemia-0,0.7880,Chronic Myelomonocytic Leukemia with Eosinophilia,0.7721,Juvenile Myelomonocytic Leukemia,0.7634,Atypical Chronic Myeloid Leukemia,0.7502,Recurrent Chronic Myelomonocytic Leukemia,0.7196,Chronic Neutrophilic Leukemia,0.7187,Adult Acute Myelomonocytic Leukemia,0.7080,Chronic Leukemia,0.7046,Refractory Chronic Myelomonocytic Leukemia,0.7016,Juvenile Myelomonocytic Leukemia-Like Neoplasm,0.6981,Childhood Acute Myelomonocytic Leukemia,0.6859,Myeloid Leukemia,0.6843,Chronic Lymphocytic Leukemia,0.6651,CHRONIC MYELOMONOCYTIC LEUKEMIA,True,True,True
CHRONIC MYELOMONOCYTIC LEUKEMIA 1,Chronic Myelomonocytic Leukemia-1,1,2,Chronic Myelomonocytic Leukemia-1,0.9705,Chronic Myelomonocytic Leukemia,0.8888,Chronic Myelomonocytic Leukemia-2,0.8236,Myelodysplastic Chronic Myelomonocytic Leukemia,0.7996,Chronic Monocytic Leukemia,0.7964,Myeloproliferative Chronic Myelomonocytic Leukemia,0.7918,Chronic Myelomonocytic Leukemia-0,0.7516,Acute Myelomonocytic Leukemia,0.7343,Chronic Myelomonocytic Leukemia with Eosinophilia,0.7269,Juvenile Myelomonocytic Leukemia,0.7260,Atypical Chronic Myeloid Leukemia,0.6822,Juvenile Myelomonocytic Leukemia-Like Neoplasm,0.6765,Myeloid Leukemia,0.6736,Childhood Acute Myelomonocytic Leukemia,0.6683,Chronic Neutrophilic Leukemia,0.6537,Refractory Chronic Myelomonocytic Leukemia,0.6511,Recurrent Chronic Myelomonocytic Leukemia,0.6483,Adult Acute Myelomonocytic Leukemia,0.6348,Chronic Leukemia,0.6281,Mast Cell Leukemia,0.6215,CHRONIC MYELOMONOCYTIC LEUKEMIA 1,True,True,True
CHRONIC MYELOMONOCYTIC LEUKEMIA 2,Chronic Myelomonocytic Leukemia-2,1,2,Chronic Myelomonocytic Leukemia-2,0.9739,Chronic Myelomonocytic Leukemia,0.8491,Chronic Myelomonocytic Leukemia-1,0.8275,Chronic Monocytic Leukemia,0.7912,Myelodysplastic Chronic Myelomonocytic Leukemia,0.7852,Myeloproliferative Chronic Myelomonocytic Leukemia,0.7593,Chronic Myelomonocytic Leukemia with Eosinophilia,0.7143,Chronic Myelomonocytic Leukemia-0,0.6906,Acute Myelomonocytic Leukemia,0.6860,Recurrent Chronic Myelomonocytic Leukemia,0.6788,Refractory Chronic Myelomonocytic Leukemia,0.6786,Juvenile Myelomonocytic Leukemia,0.6779,Atypical Chronic Myeloid Leukemia,0.6772,Myeloid Leukemia,0.6602,Juvenile Myelomonocytic Leukemia-Like Neoplasm,0.6459,Chronic Leukemia,0.6299,Chronic Neutrophilic Leukemia,0.6292,Adult Acute Myelomonocytic Leukemia,0.6155,"Monoclonal B-Cell Lymphocytosis, Chronic Lymphocytic Leukemia Type",0.6018,Childhood Acute Myelomonocytic Leukemia,0.5986,CHRONIC MYELOMONOCYTIC LEUKEMIA 2,True,True,True
CHRONIC_LYMPHOCYTIC_LEUKAEMIA-SMALL_LYMPHOCYTIC_LYMPHOMA,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,1,2,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,0.8844,Small Lymphocytic Lymphoma,0.8106,Refractory Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,0.7683,Small Lymphocytic Lymphoma Variant,0.7680,Recurrent Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,0.7155,Chronic Lymphocytic Leukemia,0.7097,Refractory Small Lymphocytic Lymphoma,0.7086,Splenic Small Lymphocytic Lymphoma,0.7067,Chronic Lymphoblastic Lymphoma,0.6812,Splenic Manifestation of Chronic Lymphocytic Leukemia,0.6788,Recurrent Small Lymphocytic Lymphoma,0.6727,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma with Unmutated Immunoglobulin Heavy Chain Variable-Region Gene,0.6619,Stage 0 Chronic Lymphocytic Leukemia,0.6514,Transformed Small Lymphocytic Lymphoma to Diffuse Large B-Cell Lymphoma,0.6484,Small Lymphocytic Lymphoma with Plasmacytoid Differentiation,0.6458,Stage B Chronic Lymphocytic Leukemia,0.6407,Stage A Chronic Lymphocytic Leukemia,0.6372,Aleukemic Chronic Lymphocytic Leukemia,0.6318,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0.6314,Small Lymphocytic Lymphoma by Ann Arbor Stage,0.6290,CHRONIC_LYMPHOCYTIC_LEUKAEMIA-SMALL_LYMPHOCYTIC_LYMPHOMA,True,True,True
CHRONIC_MYELOID_LEUKAEMIA,"Chronic Myeloid Leukemia, BCR-ABL1 Positive",99,2,Chronic Leukemia,0.8588,Chronic Monocytic Leukemia,0.8236,Chronic Myelomonocytic Leukemia,0.7854,Atypical Chronic Myeloid Leukemia,0.7702,Chronic Neutrophilic Leukemia,0.7681,Chronic Lymphocytic Leukemia,0.7611,Myelodysplastic Chronic Myelomonocytic Leukemia,0.7313,Myeloid Leukemia,0.7219,Myeloproliferative Chronic Myelomonocytic Leukemia,0.6969,Aleukemic Chronic Lymphocytic Leukemia,0.6705,Chronic Myelomonocytic Leukemia-2,0.6703,Recurrent Chronic Leukemia,0.6655,Chronic Myelomonocytic Leukemia-1,0.6636,Myeloid Neoplasm,0.6573,Chronic Lymphoblastic Lymphoma,0.6563,Chronic Myelomonocytic Leukemia-0,0.6446,Refractory Chronic Leukemia,0.6444,"Monoclonal B-Cell Lymphocytosis, Chronic Lymphocytic Leukemia Type",0.6351,Chronic Myelomonocytic Leukemia with Eosinophilia,0.6321,Refractory Chronic Myelomonocytic Leukemia,0.6287,CHRONIC_MYELOID_LEUKAEMIA,False,False,False
CILIATED MUCONODULAR PAPILLARY TUMOR OF THE LUNG,Bronchiolar Adenoma/Ciliated Muconodular Papillary Tumor,1,2,Bronchiolar Adenoma/Ciliated Muconodular Papillary Tumor,0.8128,Pulmonary Mucinous Cystic Tumor of Borderline Malignancy,0.6763,Lung Papillary Adenoma,0.6584,Papillary Cystic Neoplasm,0.6515,Lung Myoepithelial Tumor,0.6512,Lung Lymphoepithelial Carcinoma,0.6415,Lung Mucoepidermoid Carcinoma,0.6406,Well Differentiated Papillary Mesothelial Tumor,0.6403,Bronchial Papilloma,0.6387,Papillary Epithelial Neoplasm,0.6385,Papillary Neoplasm,0.6379,Lung Papillary Adenocarcinoma,0.6295,Pleural Well Differentiated Papillary Mesothelial Tumor,0.6293,Fallopian Tube Metaplastic Papillary Tumor,0.6232,Lung Mucous Gland Adenoma,0.6225,Papillary Urothelial Neoplasm,0.6207,Lung Myoepithelial Carcinoma,0.6135,Lung Myoepithelioma,0.6122,Breast Papillary Neoplasm,0.6095,Bronchial Glandular Papilloma,0.6090,CILIATED MUCONODULAR PAPILLARY TUMOR OF THE LUNG,True,True,True
CLASSICAL HCA,Hepatocellular Adenoma,7,2,Colon Conventional Adenoma,0.6944,Hereditary Colon Carcinoma,0.6701,Colorectal Conventional Adenoma,0.6692,Hepatocellular Carcinoma,0.6611,Combined Hepatocellular Carcinoma and Cholangiocarcinoma,0.6440,Adult Combined Hepatocellular Carcinoma and Cholangiocarcinoma,0.6430,Hepatocellular Adenoma,0.6422,Colon Adenoma,0.6379,Advanced Hepatocellular Carcinoma,0.6320,Childhood Hepatocellular Carcinoma,0.6226,Colorectal Adenoma,0.6182,Hidroacanthoma Simplex,0.6171,Inflammatory Hepatocellular Adenoma,0.6153,Hereditary Prostate Carcinoma,0.6139,Alcohol-Related Hepatocellular Carcinoma,0.6138,Alpha Heavy Chain Disease,0.6122,Early Hepatocellular Carcinoma,0.6117,Classic Hodgkin Lymphoma,0.6109,Colon Serrated Adenocarcinoma,0.6073,Adult Hepatocellular Carcinoma,0.6050,CLASSICAL HCA,False,False,False
CLASSICAL HODGKIN LYMPHOMA,Classic Hodgkin Lymphoma,1,2,Classic Hodgkin Lymphoma,0.9816,Hodgkin Lymphoma,0.9295,Childhood Classic Hodgkin Lymphoma,0.8271,Adult Classic Hodgkin Lymphoma,0.8258,Hodgkin Lymphoma by Clinical Course,0.8243,Colon Hodgkin Lymphoma,0.8226,Childhood Hodgkin Lymphoma,0.8167,Advanced Hodgkin Lymphoma,0.7982,Lymphocyte-Depleted Classic Hodgkin Lymphoma,0.7980,Cerebral Hodgkin Lymphoma,0.7950,Primary Cutaneous Hodgkin Lymphoma,0.7905,Adult Hodgkin Lymphoma,0.7895,Colorectal Hodgkin Lymphoma,0.7860,Lung Hodgkin Lymphoma,0.7796,Hodgkin's Sarcoma,0.7691,Lymphocyte-Rich Classic Hodgkin Lymphoma,0.7667,Favorable Hodgkin Lymphoma,0.7660,Primary Central Nervous System Hodgkin Lymphoma,0.7644,Hodgkin's Granuloma,0.7559,Transformed Chronic Lymphocytic Leukemia to Hodgkin Lymphoma,0.7475,CLASSICAL HODGKIN LYMPHOMA,True,True,True
CLEAR CELL ADENOCARCINOMA,Clear Cell Adenocarcinoma,1,2,Clear Cell Adenocarcinoma,1.0000,Water-Clear Cell Adenocarcinoma,0.8853,Clear Cell Malignant Neoplasm,0.8663,Clear Cell Adenoma,0.8643,Ovarian Clear Cell Adenocarcinoma,0.8531,Lung Clear Cell Adenocarcinoma,0.8525,Endometrial Clear Cell Adenocarcinoma,0.8513,Clear Cell Neoplasm,0.8478,Urinary Tract Clear Cell Adenocarcinoma,0.8420,Bladder Clear Cell Adenocarcinoma,0.8222,Clear Cell Renal Cell Carcinoma,0.8050,"Squamous Cell Carcinoma, Clear Cell Type",0.8014,Gallbladder Clear Cell Adenocarcinoma,0.7973,Ovarian Clear Cell Cystadenocarcinoma,0.7914,Salivary Gland Clear Cell Carcinoma,0.7852,Broad Ligament Clear Cell Adenocarcinoma,0.7790,Bladder Diffuse Clear Cell Adenocarcinoma,0.7778,Bladder Papillary Clear Cell Adenocarcinoma,0.7686,Advanced Ovarian Clear Cell Adenocarcinoma,0.7656,Urethral Clear Cell Adenocarcinoma,0.7641,CLEAR CELL ADENOCARCINOMA,True,True,True
CLEAR CELL BORDERLINE OVARIAN TUMOR,Borderline Ovarian Clear Cell Tumor,1,2,Borderline Ovarian Clear Cell Tumor,0.9814,Borderline Ovarian Clear Cell Tumor/Atypical Proliferative Ovarian Clear Cell Tumor,0.8576,Benign Ovarian Clear Cell Tumor,0.8517,Ovarian Clear Cell Tumor,0.8502,Borderline Ovarian Clear Cell Cystadenofibroma,0.8319,Malignant Ovarian Clear Cell Tumor,0.7980,Borderline Ovarian Clear Cell Tumor/Atypical Proliferative Ovarian Clear Cell Tumor with Intraepithelial Carcinoma,0.7965,Borderline Ovarian Epithelial Tumor,0.7942,Borderline Ovarian Clear Cell Adenofibroma,0.7842,Borderline Ovarian Serous Tumor,0.7703,Ovarian Clear Cell Adenocarcinoma,0.7582,Ovarian Clear Cell Cystadenocarcinoma,0.7523,Borderline Ovarian Serous Papillary Cystic Tumor,0.7448,Borderline Ovarian Mucinous Tumor,0.7385,Clear Cell Neoplasm,0.7292,Borderline Ovarian Brenner Tumor,0.7283,Ovarian Clear Cell Adenocarcinofibroma,0.7204,Advanced Ovarian Clear Cell Adenocarcinoma,0.7133,Ovarian Clear Cell Cystadenofibroma,0.7058,Borderline Ovarian Seromucinous Tumor,0.7048,CLEAR CELL BORDERLINE OVARIAN TUMOR,True,True,True
CLEAR CELL CARCINOMA,Clear Cell Adenocarcinoma,1,2,Clear Cell Adenocarcinoma,0.9345,Clear Cell Malignant Neoplasm,0.9082,Clear Cell Neoplasm,0.9057,Clear Cell Renal Cell Carcinoma,0.8854,Clear Cell Adenoma,0.8502,"Squamous Cell Carcinoma, Clear Cell Type",0.8425,Water-Clear Cell Adenocarcinoma,0.8205,Urinary Tract Clear Cell Adenocarcinoma,0.8165,Salivary Gland Clear Cell Carcinoma,0.8056,Hepatocellular Clear Cell Carcinoma,0.8014,Lung Clear Cell Adenocarcinoma,0.7957,Non-Clear Cell Renal Cell Carcinoma,0.7941,Hyalinizing Clear Cell Carcinoma,0.7934,Endometrial Clear Cell Adenocarcinoma,0.7908,Clear Cell Odontogenic Carcinoma,0.7905,Bladder Clear Cell Adenocarcinoma,0.7892,Ovarian Clear Cell Adenocarcinoma,0.7863,Ovarian Clear Cell Tumor,0.7839,Skin Clear Cell Squamous Cell Carcinoma,0.7697,Renal Cell Carcinoma,0.7642,CLEAR CELL CARCINOMA,True,True,True
CLEAR CELL CARCINOMA OF THE LUNG,"Lung Large Cell Carcinoma, Clear Cell Variant",3,2,Lung Clear Cell Adenocarcinoma,0.9021,Lung Clear Cell Tumor,0.8800,"Lung Large Cell Carcinoma, Clear Cell Variant",0.8567,"Lung Squamous Cell Carcinoma, Clear Cell Variant",0.8436,Lung Hyalinizing Clear Cell Carcinoma,0.8263,Clear Cell Renal Cell Carcinoma,0.7888,Clear Cell Adenocarcinoma,0.7565,Lung Non-Small Cell Carcinoma,0.7447,Lung Large Cell Carcinoma,0.7339,Lung Carcinoma,0.7336,Urinary Tract Clear Cell Adenocarcinoma,0.7333,Non-Clear Cell Renal Cell Carcinoma,0.7304,"Squamous Cell Carcinoma, Clear Cell Type",0.7297,Clear Cell Malignant Neoplasm,0.7251,Lung Squamous Cell Carcinoma,0.7194,Bladder Clear Cell Adenocarcinoma,0.7142,Hepatocellular Clear Cell Carcinoma,0.7110,Clear Cell Neoplasm,0.7061,Lung Non-Keratinizing Squamous Cell Carcinoma,0.7017,Thymus Clear Cell Carcinoma,0.6933,CLEAR CELL CARCINOMA OF THE LUNG,False,True,True
CLEAR CELL ODONTOGENIC CARCINOMA,Clear Cell Odontogenic Carcinoma,1,2,Clear Cell Odontogenic Carcinoma,1.0000,Odontogenic Carcinoma,0.8526,Clear Cell Calcifying Epithelial Odontogenic Tumor,0.8333,Ghost Cell Odontogenic Carcinoma,0.7713,Clear Cell Adenocarcinoma,0.7598,Sclerosing Odontogenic Carcinoma,0.7448,Ameloblastic Carcinoma Derived From Odontogenic Cyst,0.7410,Squamous Odontogenic Tumor,0.7388,Clear Cell Neoplasm,0.7273,Odontogenic Carcinosarcoma,0.7146,Malignant Odontogenic Neoplasm,0.7111,Salivary Gland Clear Cell Carcinoma,0.7070,Clear Cell Malignant Neoplasm,0.7033,"Squamous Cell Carcinoma, Clear Cell Type",0.7010,Clear Cell Adenoma,0.6961,Clear Cell Renal Cell Carcinoma,0.6951,Odontogenic Sarcoma,0.6943,Ovarian Clear Cell Tumor,0.6910,Clear Cell Chondrosarcoma,0.6843,Ovarian Clear Cell Cystadenocarcinoma,0.6790,CLEAR CELL ODONTOGENIC CARCINOMA,True,True,True
CLEAR CELL OVARIAN CANCER,Ovarian Clear Cell Tumor,1,2,Ovarian Clear Cell Tumor,0.9414,Ovarian Clear Cell Adenocarcinoma,0.9263,Malignant Ovarian Clear Cell Tumor,0.9194,Benign Ovarian Clear Cell Tumor,0.8656,Ovarian Clear Cell Cystadenocarcinoma,0.8418,Advanced Ovarian Clear Cell Adenocarcinoma,0.8276,Ovarian Carcinoma,0.8188,Borderline Ovarian Clear Cell Tumor,0.8027,Ovarian Clear Cell Adenocarcinofibroma,0.7924,Clear Cell Malignant Neoplasm,0.7835,Clear Cell Adenocarcinoma,0.7818,Ovarian Squamous Cell Carcinoma,0.7788,Clear Cell Neoplasm,0.7726,Metastatic Ovarian Clear Cell Adenocarcinoma,0.7679,Ovarian Transitional Cell Carcinoma,0.7610,Ovarian Small Cell Carcinoma,0.7560,Ovarian Adenocarcinoma,0.7539,Ovarian Undifferentiated Carcinoma,0.7468,Endometrial Clear Cell Adenocarcinoma,0.7419,Clear Cell Renal Cell Carcinoma,0.7386,CLEAR CELL OVARIAN CANCER,True,True,True
CLEAR CELL PAPILLARY RENAL CELL CARCINOMA,Clear Cell Papillary Renal Tumor,2,2,Papillary Renal Cell Carcinoma,0.9310,Clear Cell Papillary Renal Tumor,0.9243,Clear Cell Renal Cell Carcinoma,0.8866,Sporadic Papillary Renal Cell Carcinoma,0.8519,Type 1 Papillary Renal Cell Carcinoma,0.8492,Type 2 Papillary Renal Cell Carcinoma,0.8418,Advanced Papillary Renal Cell Carcinoma,0.8270,Non-Clear Cell Renal Cell Carcinoma,0.8172,Bladder Papillary Clear Cell Adenocarcinoma,0.8082,Renal Cell Carcinoma,0.7899,Advanced Clear Cell Renal Cell Carcinoma,0.7815,Chromophobe Renal Cell Carcinoma,0.7768,Metastatic Papillary Renal Cell Carcinoma,0.7763,Hereditary Papillary Renal Cell Carcinoma,0.7760,Early Stage Clear Cell Renal Cell Carcinoma,0.7706,Classic Variant of Chromophobe Renal Cell Carcinoma,0.7669,Unresectable Papillary Renal Cell Carcinoma,0.7649,Locally Advanced Papillary Renal Cell Carcinoma,0.7647,Clear Cell Papillary Cystadenoma,0.7633,Grade 1 Clear Cell Renal Cell Carcinoma,0.7620,CLEAR CELL PAPILLARY RENAL CELL CARCINOMA,False,True,True
CLEAR CELL RENAL CELL CARCINOMA,Clear Cell Renal Cell Carcinoma,1,2,Clear Cell Renal Cell Carcinoma,1.0000,Non-Clear Cell Renal Cell Carcinoma,0.9067,Renal Cell Carcinoma,0.8818,Early Stage Clear Cell Renal Cell Carcinoma,0.8555,Advanced Clear Cell Renal Cell Carcinoma,0.8511,Grade 1 Clear Cell Renal Cell Carcinoma,0.8342,Non-Hereditary Clear Cell Renal Cell Carcinoma,0.8339,Clear Cell Papillary Renal Tumor,0.8179,Urinary Tract Clear Cell Adenocarcinoma,0.8171,Grade 2 Clear Cell Renal Cell Carcinoma,0.8155,Clear Cell Malignant Neoplasm,0.8123,Hereditary Clear Cell Renal Cell Carcinoma,0.8060,Clear Cell Adenocarcinoma,0.8050,"Renal Cell Carcinoma, Not Otherwise Specified",0.8042,Clear Cell Neoplasm,0.8007,Grade 3 Clear Cell Renal Cell Carcinoma,0.7971,Papillary Renal Cell Carcinoma,0.7940,Clear Cell Sarcoma of the Kidney,0.7903,Grade 4 Clear Cell Renal Cell Carcinoma,0.7866,Locally Advanced Clear Cell Renal Cell Carcinoma,0.7808,CLEAR CELL RENAL CELL CARCINOMA,True,True,True
CLEAR CELL SARCOMA,Clear Cell Sarcoma of Soft Tissue,1,2,Clear Cell Sarcoma of Soft Tissue,0.9133,Clear Cell Sarcoma of the Kidney,0.8799,Clear Cell Malignant Neoplasm,0.8179,Clear Cell Neoplasm,0.8103,Childhood Clear Cell Sarcoma of Soft Tissue,0.7982,Adult Clear Cell Sarcoma of Soft Tissue,0.7981,Advanced Clear Cell Sarcoma of Soft Tissue,0.7961,Clear Cell Chondrosarcoma,0.7941,Sarcoma,0.7475,Metastatic Clear Cell Sarcoma of Soft Tissue,0.7448,"Squamous Cell Carcinoma, Clear Cell Type",0.7374,Clear Cell Adenocarcinoma,0.7351,Clear Cell Meningioma,0.7313,Small Cell Sarcoma,0.7208,Skin Clear Cell Squamous Cell Carcinoma,0.7190,Clear Cell Adenoma,0.7175,Hyalinizing Clear Cell Carcinoma,0.7135,Ovarian Clear Cell Tumor,0.7112,Histiocytic Sarcoma,0.7073,Malignant Ovarian Clear Cell Tumor,0.7008,CLEAR CELL SARCOMA,True,True,True
CLEAR_CELL_CARCINOMA,Clear Cell Adenocarcinoma,1,2,Clear Cell Adenocarcinoma,0.8506,Clear Cell Malignant Neoplasm,0.8499,Clear Cell Neoplasm,0.8457,"Squamous Cell Carcinoma, Clear Cell Type",0.8080,Clear Cell Renal Cell Carcinoma,0.7899,Water-Clear Cell Adenocarcinoma,0.7748,Clear Cell Adenoma,0.7646,Urinary Tract Clear Cell Adenocarcinoma,0.7633,Hyalinizing Clear Cell Carcinoma,0.7606,Skin Clear Cell Squamous Cell Carcinoma,0.7518,Salivary Gland Clear Cell Carcinoma,0.7485,Non-Clear Cell Renal Cell Carcinoma,0.7445,Endometrial Clear Cell Adenocarcinoma,0.7318,Carcinoma,0.7317,Clear Cell Odontogenic Carcinoma,0.7309,Hepatocellular Clear Cell Carcinoma,0.7226,Bladder Clear Cell Adenocarcinoma,0.7204,Invasive Clear Cell (Glycogen-Rich) Urothelial Carcinoma,0.7157,Lung Clear Cell Adenocarcinoma,0.7155,Renal Cell Carcinoma,0.7118,CLEAR_CELL_CARCINOMA,True,True,True
CLEAR_CELL_RENAL_CELL_CARCINOMA,Clear Cell Renal Cell Carcinoma,1,2,Clear Cell Renal Cell Carcinoma,0.9150,Non-Clear Cell Renal Cell Carcinoma,0.8723,Renal Cell Carcinoma,0.8170,Grade 1 Clear Cell Renal Cell Carcinoma,0.8061,Advanced Clear Cell Renal Cell Carcinoma,0.8048,Early Stage Clear Cell Renal Cell Carcinoma,0.8000,Non-Hereditary Clear Cell Renal Cell Carcinoma,0.7987,Urinary Tract Clear Cell Adenocarcinoma,0.7973,"Renal Cell Carcinoma, Not Otherwise Specified",0.7877,Grade 3 Clear Cell Renal Cell Carcinoma,0.7814,Grade 4 Clear Cell Renal Cell Carcinoma,0.7802,Clear Cell Sarcoma of the Kidney,0.7798,Grade 2 Clear Cell Renal Cell Carcinoma,0.7779,Clear Cell Malignant Neoplasm,0.7718,Clear Cell Papillary Renal Tumor,0.7668,Resectable Clear Cell Renal Cell Carcinoma,0.7551,Clear Cell Neoplasm,0.7496,Hereditary Clear Cell Renal Cell Carcinoma,0.7480,Locally Advanced Clear Cell Renal Cell Carcinoma,0.7453,Clear Cell Adenocarcinoma,0.7453,CLEAR_CELL_RENAL_CELL_CARCINOMA,True,True,True
CLL,Chronic Lymphocytic Leukemia,1,2,Chronic Lymphocytic Leukemia,0.8151,Leukemia,0.7657,Chronic Leukemia,0.7642,Lymphoma,0.7510,Cutaneous Chronic Lymphocytic Leukemia,0.7436,Aleukemic Chronic Lymphocytic Leukemia,0.7371,Lymphoid Leukemia,0.7331,Chronic Lymphoblastic Lymphoma,0.7229,Composite Lymphoma,0.7107,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,0.7072,Lymphocytic Neoplasm,0.6994,B-Cell Leukemia,0.6932,Stage A Chronic Lymphocytic Leukemia,0.6878,Lymphoblastic Lymphoma,0.6839,Follicular Lymphoma,0.6801,Lung Lymphoma,0.6685,Classic Follicular Lymphoma,0.6666,Cutaneous Lymphoma,0.6602,Stage C Chronic Lymphocytic Leukemia,0.6578,Childhood Lymphoma,0.6554,CLL,True,True,True
