original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top1_accuracy,top3_accuracy,top5_accuracy
"DIFFUSE LARGE B-CELL LYMPHOMA, NOS",Diffuse Large B-Cell Lymphoma,1,2,Diffuse Large B-Cell Lymphoma,0.9866,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified",0.9379,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified Molecular Subtypes",0.8958,Diffuse Large B-Cell Lymphoma Unclassifiable,0.8565,Childhood Diffuse Large B-Cell Lymphoma,0.8505,True,True,True
DIFFUSE LEPTOMENINGEAL  GLIONEURONAL TUMOR,Diffuse Leptomeningeal Glioneuronal Tumor,1,2,Diffuse Leptomeningeal Glioneuronal Tumor,1.0000,Diffuse Non-Pontine Midline Glioma,0.7924,Glioneuronal and Neuronal Tumors,0.7555,Diffuse Midline Glioma,0.7464,Meningeal Gliomatosis,0.7420,True,True,True
DIFFUSE MALIGNANT MESOTHELIOMA - NOS,Diffuse Malignant Mesothelioma,1,2,Diffuse Malignant Mesothelioma,0.9632,Malignant Mesothelioma,0.8402,Metastatic Malignant Mesothelioma,0.7965,Advanced Malignant Mesothelioma,0.7784,Sarcomatoid Mesothelioma,0.7603,True,True,True
DIFFUSE MIDLINE GLIOMA,Diffuse Midline Glioma,1,2,Diffuse Midline Glioma,1.0000,Diffuse Non-Pontine Midline Glioma,0.8656,Diffuse Glioma,0.8516,Unresectable Diffuse Midline Glioma,0.8245,Recurrent Diffuse Midline Glioma,0.7914,True,True,True
"DIFFUSE MIDLINE GLIOMA, H3K27M MUTANT","Diffuse Midline Glioma, H3 K27M-Mutant",1,2,"Diffuse Midline Glioma, H3 K27M-Mutant",0.8738,"Diffuse Midline Glioma, H3 K27-Altered",0.7696,"Unresectable Diffuse Midline Glioma, H3 K27M-Mutant",0.7543,"Childhood Diffuse Midline Glioma, H3 K27-Altered",0.7448,"Adult Diffuse Midline Glioma, H3 K27-Altered",0.7422,True,True,True
DIFFUSE SCLEROSING VARIANT,Diffuse Sclerosing Variant Thyroid Gland Papillary Carcinoma,1,2,Diffuse Sclerosing Variant Thyroid Gland Papillary Carcinoma,0.7073,Sclerosing Epithelioid Fibrosarcoma,0.6589,Sclerosing Rhabdomyosarcoma,0.6562,Sclerosing Atypical Lipomatous Tumor/Well Differentiated Liposarcoma,0.6352,Sclerosing Pneumocytoma,0.6333,True,True,True
DIFFUSE TYPE STOMACH ADENOCARCINOMA,Gastric Diffuse Adenocarcinoma,1,2,Gastric Diffuse Adenocarcinoma,0.9437,Sporadic Gastric Diffuse Adenocarcinoma,0.8814,Diffuse Type Adenocarcinoma,0.8654,Gastric Adenocarcinoma,0.8140,Hereditary Gastric Diffuse Adenocarcinoma,0.7764,True,True,True
DIFFUSE_ADENOCARCINOMA,Gastric Diffuse Adenocarcinoma,3,2,Diffuse Type Adenocarcinoma,0.9282,Disseminated Adenocarcinoma,0.8419,Gastric Diffuse Adenocarcinoma,0.8299,Adenocarcinoma,0.8242,Advanced Adenocarcinoma,0.7790,False,True,True
DIFFUSE_GASTRIC,Gastric Diffuse Adenocarcinoma,1,2,Gastric Diffuse Adenocarcinoma,0.8156,Sporadic Gastric Diffuse Adenocarcinoma,0.7528,Gastric Lymphoma,0.7282,Hereditary Gastric Diffuse Adenocarcinoma,0.7071,Diffuse Glioma,0.7033,True,True,True
DIFFUSE_HISTIOCYTIC_LYMPHOMA,"Malignant Lymphoma, Histiocytic, Diffuse",1,2,"Malignant Lymphoma, Histiocytic, Diffuse",0.9460,True Histiocytic Lymphoma,0.8465,Diffuse Malignant Lymphoma,0.7690,Malignant Histiocytosis,0.7675,Histiocytic and Dendritic Cell Neoplasm,0.7552,True,True,True
DIFFUSE_LARGE_B_CELL_LYMPHOMA,Diffuse Large B-Cell Lymphoma,1,2,Diffuse Large B-Cell Lymphoma,0.9335,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified",0.8968,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified Molecular Subtypes",0.8719,MCD Diffuse Large B-Cell Lymphoma,0.8174,Diffuse Large B-Cell Lymphoma Unclassifiable,0.8165,True,True,True
DIPG,Diffuse Intrinsic Pontine Glioma,1,2,Diffuse Intrinsic Pontine Glioma,0.6275,Childhood Diffuse Intrinsic Pontine Glioma,0.6163,Diffuse Glioma,0.6045,Adult Diffuse Intrinsic Pontine Glioma,0.6040,Glioma,0.5880,True,True,True
DISSEMINATED JUVENILE XANTHOGRANULOMA,Disseminated Juvenile Xanthogranuloma,1,2,Disseminated Juvenile Xanthogranuloma,1.0000,Juvenile Xanthogranuloma,0.9462,Cutaneous Juvenile Xanthogranuloma,0.9251,Head and Neck Juvenile Xanthogranuloma,0.8851,Cutaneous Adult Xanthogranuloma,0.8442,True,True,True
DLBC,Diffuse Large B-Cell Lymphoma,2,2,Diffuse Centroblastic-Centrocytic Lymphoma,0.6980,Diffuse Large B-Cell Lymphoma,0.6968,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified",0.6767,Advanced Diffuse Large B-Cell Lymphoma,0.6721,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,0.6709,False,True,True
DLBCL,Diffuse Large B-Cell Lymphoma,1,2,Diffuse Large B-Cell Lymphoma,0.7649,Lymphoma,0.7608,EZB Diffuse Large B-Cell Lymphoma,0.7358,Diffuse Malignant Lymphoma,0.7228,Classical Burkitt Lymphoma,0.7214,True,True,True
DOWN SYNDROME; ACUTE MEGAKARYOBLASTIC LEUKAEMIA,Myeloid Leukemia Associated with Down Syndrome,2,2,Acute Megakaryoblastic Leukemia,0.8109,Myeloid Leukemia Associated with Down Syndrome,0.7856,Transient Abnormal Myelopoiesis Associated with Down Syndrome,0.7383,Childhood Acute Megakaryoblastic Leukemia,0.7349,Adult Acute Megakaryoblastic Leukemia,0.7307,False,True,True
DUCTAL ADENOCARCINOMA,Pancreatic Ductal Adenocarcinoma,2,2,Prostate Ductal Adenocarcinoma,0.8792,Pancreatic Ductal Adenocarcinoma,0.8677,Adenocarcinoma,0.8456,Breast Adenocarcinoma,0.8215,Breast Ductal Carcinoma,0.8209,False,True,True
DUCTAL AND LOBULAR,Breast Mixed Ductal and Lobular Carcinoma,1,2,Breast Mixed Ductal and Lobular Carcinoma,0.7091,Invasive Breast Ductal Carcinoma and Lobular Carcinoma,0.6977,Breast Ductal Carcinoma In Situ and Lobular Carcinoma,0.6931,Breast Ductal Hyperplasia,0.6742,Breast Ductal Adenoma,0.6622,True,True,True
DUCTAL AND LOBULAR FEATURES,Breast Mixed Ductal and Lobular Carcinoma,1,2,Breast Mixed Ductal and Lobular Carcinoma,0.6915,Invasive Breast Ductal Carcinoma and Lobular Carcinoma,0.6812,Breast Ductal Carcinoma In Situ and Lobular Carcinoma,0.6711,Breast Ductal Hyperplasia,0.6607,Diffuse Lipomatosis,0.6413,True,True,True
DUCTAL CARCINOMA,Breast Ductal Carcinoma,1,2,Breast Ductal Carcinoma,0.9192,Prostate Ductal Adenocarcinoma,0.7838,Breast Carcinoma,0.7791,Breast Adenocarcinoma,0.7675,Carcinoma,0.7665,True,True,True
DUCTAL CARCINOMA IN SITU DCIS,Breast Ductal Carcinoma In Situ,1,2,Breast Ductal Carcinoma In Situ,0.8930,"Breast Ductal Carcinoma In Situ, Low Grade",0.8418,"Breast Ductal Carcinoma In Situ, Non-Comedo Type",0.8347,"Breast Ductal Carcinoma In Situ, High Grade",0.8228,"Breast Ductal Carcinoma In Situ, Solid Type",0.8191,True,True,True
DUCTAL CARCINOMA- MAMMARY GLAND,Breast Ductal Carcinoma,1,2,Breast Ductal Carcinoma,0.9175,Metastatic Breast Ductal Carcinoma,0.7899,Breast Carcinoma,0.7834,Breast Adenocarcinoma,0.7635,Breast Ductal Adenoma,0.7634,True,True,True
DUCTAL/LOBULAR,Breast Mixed Ductal and Lobular Carcinoma,1,2,Breast Mixed Ductal and Lobular Carcinoma,0.7139,Breast Ductal Hyperplasia,0.6900,Breast Ductal Adenoma,0.6866,Breast Ductal Carcinoma In Situ and Lobular Carcinoma,0.6810,Invasive Breast Ductal Carcinoma and Lobular Carcinoma,0.6773,True,True,True
DUCTAL/NST,Breast Ductal Carcinoma,99,2,Dermal Duct Tumor,0.6708,Double Pituitary Neuroendocrine Tumors of Distinct Lineages,0.6253,Pancreatic Mixed Ductal Adenocarcinoma-Neuroendocrine Tumor,0.6242,Duodenal Neuroendocrine Tumor,0.6240,Stroma-Derived Neoplasm of Lymphoid Tissues,0.6215,False,False,False
DUCTAL_CARCINOMA,Breast Ductal Carcinoma,1,2,Breast Ductal Carcinoma,0.8682,Carcinoma,0.7438,Prostate Ductal Adenocarcinoma,0.7397,Salivary Duct Carcinoma,0.7361,Breast Carcinoma,0.7340,True,True,True
DUODENAL ADENOCARCINOMA,Duodenal Adenocarcinoma,1,2,Duodenal Adenocarcinoma,1.0000,Duodenal Carcinoma,0.9162,Duodenal Adenoma,0.8581,Malignant Duodenal Neoplasm,0.8368,Duodenal Neoplasm,0.8053,True,True,True
DUODENAL_ADENOCARCINOMA,Duodenal Adenocarcinoma,1,2,Duodenal Adenocarcinoma,0.9678,Duodenal Carcinoma,0.8773,Malignant Duodenal Neoplasm,0.8361,Duodenal Adenoma,0.8302,Duodenal Neoplasm,0.7750,True,True,True
DYSEMBRYOPLASTIC NEUROEPITHELIAL TUMOR,Dysembryoplastic Neuroepithelial Tumor,1,2,Dysembryoplastic Neuroepithelial Tumor,1.0000,Childhood Dysembryoplastic Neuroepithelial Tumor,0.9469,Adult Dysembryoplastic Neuroepithelial Tumor,0.9351,Neuroepithelial Neoplasm,0.7735,Dysembryoplastic Neuroepithelial-Like Tumor of the Septum Pellucidum,0.7623,True,True,True
DYSGERMINOMA,Ovarian Dysgerminoma,1,2,Ovarian Dysgerminoma,0.8365,Pineal Region Dysgerminoma,0.8034,Childhood Ovarian Dysgerminoma,0.7642,Enteroglucagonoma,0.6607,Glomangiomyoma,0.6480,True,True,True
EARLY T-CELL PRECURSOR LYMPHOBLASTIC LEUKEMIA,Early T Acute Lymphoblastic Leukemia,99,2,Early T Precursor Lymphoblastic Leukemia/Lymphoma,0.9467,Early T Precursor Acute Lymphoblastic Leukemia,0.9373,"Early T Precursor Acute Lymphoblastic Leukemia, Not Otherwise Specified",0.9001,T Acute Lymphoblastic Leukemia,0.7871,T Lymphoblastic Lymphoma,0.7625,False,False,False
EBV-ASSOCIATED,EBV-Related Lymphoma,2,2,EBV-Related Carcinoma,0.7825,EBV-Related Lymphoma,0.7776,EBV-Related Malignant Neoplasm,0.7757,EBV-Related Sarcoma,0.7514,EBV-Related Burkitt Lymphoma,0.7002,False,True,True
EMBRYONAL,Embryonal Carcinoma,2,2,Embryonal Neoplasm,0.8730,Embryonal Carcinoma,0.8279,Childhood Embryonal Carcinoma,0.7777,Ovarian Embryonal Carcinoma,0.7286,Childhood Central Nervous System Embryonal Tumor,0.7078,False,True,True
EMBRYONAL CARCINOMA,Embryonal Carcinoma,1,2,Embryonal Carcinoma,1.0000,Childhood Embryonal Carcinoma,0.9275,Embryonal Neoplasm,0.8903,Central Nervous System Embryonal Carcinoma,0.8750,Ovarian Embryonal Carcinoma,0.8610,True,True,True
EMBRYONAL CARCINOMA[NOT AVAILABLE],Embryonal Carcinoma,1,2,Embryonal Carcinoma,0.8491,Childhood Embryonal Carcinoma,0.7952,Central Nervous System Embryonal Carcinoma,0.7947,Extragonadal Embryonal Carcinoma,0.7832,Embryonal Neoplasm,0.7663,True,True,True
EMBRYONAL CARCINOMA[NOT AVAILABLE][NOT AVAILABLE][NOT AVAILABLE],Embryonal Carcinoma,1,2,Embryonal Carcinoma,0.7464,Extragonadal Embryonal Carcinoma,0.7256,Central Nervous System Embryonal Carcinoma,0.7185,"Central Nervous System Embryonal Tumor, Not Elsewhere Classified",0.7165,Childhood Embryonal Carcinoma,0.7022,True,True,True
EMBRYONAL RHABDOMYOSARCOMA,Embryonal Rhabdomyosarcoma,1,2,Embryonal Rhabdomyosarcoma,1.0000,Childhood Embryonal Rhabdomyosarcoma,0.9326,Anaplastic Embryonal Rhabdomyosarcoma,0.8639,Metastatic Embryonal Rhabdomyosarcoma,0.8499,Bladder Embryonal Rhabdomyosarcoma,0.8106,True,True,True
EMBRYONAL TUMOR,Embryonal Neoplasm,1,2,Embryonal Neoplasm,0.9802,Embryonal Carcinoma,0.9024,Central Nervous System Embryonal Tumor,0.8740,Childhood Central Nervous System Embryonal Tumor,0.8493,Childhood Embryonal Carcinoma,0.8468,True,True,True
EMBRYONAL TUMOR WITH ABUNDANT NEUROPIL AND TRUE ROSETTES,"Embryonal Tumor with Multilayered Rosettes, C19MC-Altered",99,2,Embryonal Tumor with Multilayered Rosettes,0.8046,Rosette-Forming Glioneuronal Tumor,0.7874,Embryonal Tumor with Multilayered Rosettes of the Fourth Ventricle,0.7720,Central Nervous System Embryonal Tumor with Rhabdoid Features,0.7635,Rosette-Forming Glioneuronal Tumor of the Fourth Ventricle,0.7516,False,False,False
EMBRYO_CARCINOMA,Embryonal Carcinoma,1,2,Embryonal Carcinoma,0.8913,Childhood Embryonal Carcinoma,0.8179,Embryonal Neoplasm,0.7687,Ovarian Embryonal Carcinoma,0.7680,Extragonadal Embryonal Carcinoma,0.7363,True,True,True
EMBT,Embryonal Neoplasm,99,2,Intratubular Embryonal Carcinoma,0.5797,Breast Myoepithelial Tumor,0.5767,Extracranial Neuroblastoma,0.5740,Extrahepatic Bile Duct Neuroendocrine Tumor,0.5731,Extraskeletal Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor,0.5649,False,False,False
ENCAPSULATED GLIOMA,Glioma,1,2,Glioma,0.8001,Encapsulated Neoplasm,0.7637,Unresectable Glioma,0.7631,Neural Glioblastoma,0.7558,Cerebral Glioblastoma,0.7453,True,True,True
ENDOCERVICAL ADENOCARCINOMA,Cervical Adenocarcinoma,3,2,"Endocervical Adenocarcinoma, Usual-Type",0.8731,Malignant Endocervical Neoplasm,0.8635,Cervical Adenocarcinoma,0.7649,Endocervical Polyp,0.7396,"Cervical Adenomyoma, Endocervical-Type",0.7340,False,True,True
ENDOCERVICAL ADENOCARCINOMA OF THE USUAL TYPE,Cervical Adenocarcinoma,99,2,"Endocervical Adenocarcinoma, Usual-Type",0.9825,Malignant Endocervical Neoplasm,0.7504,Endocervical Undifferentiated Sarcoma,0.7408,"Recurrent Endocervical Adenocarcinoma, Usual-Type",0.7268,"Cervical Adenomyoma, Endocervical-Type",0.6925,False,False,False
ENDOCERVICAL TYPE OF ADENOCARCINOMA,Cervical Adenocarcinoma,4,2,"Endocervical Adenocarcinoma, Usual-Type",0.8795,Malignant Endocervical Neoplasm,0.8514,"Cervical Adenomyoma, Endocervical-Type",0.7379,Cervical Adenocarcinoma,0.7257,Type II Endometrial Adenocarcinoma,0.7070,False,False,True
ENDOMETRIAL ADENOCARCINOMA,Endometrial Adenocarcinoma,1,2,Endometrial Adenocarcinoma,1.0000,Endometrial Carcinoma,0.8980,Type II Endometrial Adenocarcinoma,0.8531,Advanced Endometrial Adenocarcinoma,0.8505,Type I Endometrial Adenocarcinoma,0.8466,True,True,True
ENDOMETRIAL ADENOSQUAMOUS CARCINOMA,Endometrial Adenosquamous Carcinoma,1,2,Endometrial Adenosquamous Carcinoma,1.0000,Adenosquamous Carcinoma,0.8725,Metastatic Endometrial Adenosquamous Carcinoma,0.8534,Cervical Adenosquamous Carcinoma,0.8188,Esophageal Adenosquamous Carcinoma,0.8161,True,True,True
ENDOMETRIAL CANCER,Endometrial Carcinoma,1,2,Endometrial Carcinoma,0.9469,Endometrial Neoplasm,0.8641,Endometrial Adenocarcinoma,0.8640,Malignant Endometrial Neoplasm,0.8353,Endometrial Undifferentiated Carcinoma,0.7990,True,True,True
ENDOMETRIAL CARCINOMA,Endometrial Carcinoma,1,2,Endometrial Carcinoma,1.0000,Endometrial Adenocarcinoma,0.8980,Endometrial Squamous Cell Carcinoma,0.8323,Endometrial Undifferentiated Carcinoma,0.8204,Malignant Endometrial Neoplasm,0.8154,True,True,True
ENDOMETRIAL SQUAMOUS CELL CARCINOMA,Endometrial Squamous Cell Carcinoma,1,2,Endometrial Squamous Cell Carcinoma,1.0000,Endometrial Carcinoma,0.8323,Endometrial Adenosquamous Carcinoma,0.7753,Endometrial Undifferentiated Carcinoma,0.7555,Endometrial Transitional Cell Carcinoma,0.7493,True,True,True
ENDOMETRIAL STROMAL SARCOMA,Endometrioid Stromal Sarcoma,1,2,Endometrioid Stromal Sarcoma,0.8955,Stromal Sarcoma,0.8637,Uterine Corpus Endometrial Stromal Sarcoma,0.8513,Low Grade Endometrioid Stromal Sarcoma,0.8324,Undifferentiated Stromal Sarcoma,0.8047,True,True,True
ENDOMETRIAL_ADENOCARCINOMA,Endometrial Adenocarcinoma,1,2,Endometrial Adenocarcinoma,0.9601,Endometrial Carcinoma,0.8593,Advanced Endometrial Adenocarcinoma,0.8371,Type II Endometrial Adenocarcinoma,0.8358,Endometrial Endometrioid Adenocarcinoma,0.8264,True,True,True
ENDOMETRIAL_ADENOSQUAMOUS,Endometrial Adenosquamous Carcinoma,1,2,Endometrial Adenosquamous Carcinoma,0.8984,Adenosquamous Carcinoma,0.7880,Metastatic Endometrial Adenosquamous Carcinoma,0.7795,Recurrent Endometrial Adenosquamous Carcinoma,0.7513,Cervical Adenosquamous Carcinoma,0.7283,True,True,True
ENDOMETRIAL_SQUAMOUS,Endometrial Squamous Cell Carcinoma,1,2,Endometrial Squamous Cell Carcinoma,0.7907,"Endometrioid Tumor, Variant with Squamous Differentiation",0.7276,"Endometrial Endometrioid Adenocarcinoma, Variant with Squamous Differentiation",0.7176,Endometrial Carcinoma,0.7034,Endometrial Adenosquamous Carcinoma,0.6993,True,True,True
ENDOMETRIAL_STROMAL_SARCOMA,Endometrioid Stromal Sarcoma,1,2,Endometrioid Stromal Sarcoma,0.8757,Stromal Sarcoma,0.8354,Uterine Corpus Endometrial Stromal Sarcoma,0.8243,Low Grade Endometrioid Stromal Sarcoma,0.8028,Undifferentiated Stromal Sarcoma,0.7857,True,True,True
ENDOMETRIOID,Endometrioid Tumor,1,2,Endometrioid Tumor,0.9540,Endometrioid Adenocarcinoma,0.9268,Endometrial Endometrioid Adenocarcinoma,0.8869,Ovarian Endometrioid Tumor,0.8628,Benign Ovarian Endometrioid Tumor,0.8388,True,True,True
ENDOMETRIOID ADENOCARCINOMA OF ENDOCERVIX,Cervical Endometrioid Adenocarcinoma,1,2,Cervical Endometrioid Adenocarcinoma,0.8821,Endometrial Endometrioid Adenocarcinoma,0.8316,Endometrioid Adenocarcinoma,0.8094,Endometrial High Grade Endometrioid Adenocarcinoma,0.7743,Ovarian Endometrioid Adenocarcinoma,0.7659,True,True,True
ENDOMETRIOID CARCINOMA,Endometrioid Adenocarcinoma,1,2,Endometrioid Adenocarcinoma,0.9680,Endometrioid Tumor,0.9429,Endometrial Endometrioid Adenocarcinoma,0.9227,Ovarian Endometrioid Adenocarcinoma,0.8888,Cervical Endometrioid Adenocarcinoma,0.8702,True,True,True
ENDOMETRIOID ENDOMETRIAL ADENOCARCINOMA,Endometrial Endometrioid Adenocarcinoma,1,2,Endometrial Endometrioid Adenocarcinoma,0.9908,Endometrioid Adenocarcinoma,0.9731,Ovarian Endometrioid Adenocarcinoma,0.9217,Advanced Endometrial Endometrioid Adenocarcinoma,0.9053,Endometrial High Grade Endometrioid Adenocarcinoma,0.9040,True,True,True
ENDOMETRIOID OVARIAN CANCER,Ovarian Endometrioid Adenocarcinoma,1,2,Ovarian Endometrioid Adenocarcinoma,0.9495,Ovarian Endometrioid Tumor,0.9285,Endometrioid Adenocarcinoma,0.9220,Malignant Ovarian Endometrioid Tumor,0.9169,Endometrioid Tumor,0.8971,True,True,True
ENDOMETRIOID_CARCINOMA,Endometrioid Adenocarcinoma,1,2,Endometrioid Adenocarcinoma,0.9318,Endometrioid Tumor,0.9157,Endometrial Endometrioid Adenocarcinoma,0.8936,Ovarian Endometrioid Adenocarcinoma,0.8536,High Grade Endometrioid Adenocarcinoma,0.8514,True,True,True
EPENDYMOBLASTOMA,"Embryonal Tumor with Multilayered Rosettes, C19MC-Altered",99,2,Ependymoma,0.9135,Ependymal Tumor,0.8828,Brain Ependymoma,0.8822,Adult Ependymoma,0.8341,Childhood Ependymal Tumor,0.8302,False,False,False
EPENDYMOMA,Ependymoma,1,2,Ependymoma,1.0000,Brain Ependymoma,0.9440,Ependymal Tumor,0.9260,Papillary Ependymoma,0.9032,Cellular Ependymoma,0.8954,True,True,True
EPENDYMOMAL TUMOR,Ependymal Tumor,1,2,Ependymal Tumor,0.9327,Ependymoma,0.9134,Brain Ependymoma,0.8714,Papillary Ependymoma,0.8447,Adult Ependymal Tumor,0.8392,True,True,True
EPITHELIAL-MYOEPITHELIAL CARCINOMA,Epithelial-Myoepithelial Carcinoma,1,2,Epithelial-Myoepithelial Carcinoma,1.0000,Myoepithelial Tumor,0.8238,Salivary Gland Epithelial-Myoepithelial Carcinoma,0.8152,Malignant Myoepithelioma,0.7923,Salivary Gland Myoepithelial Carcinoma,0.7807,True,True,True
EPITHELIOID CELL TUMOR,Malignant PEComa,99,2,Epithelioid Sarcoma,0.8473,Epithelioid Cell Melanoma,0.8441,Epithelioid Mesothelioma,0.8116,Epithelioid Trophoblastic Tumor,0.8019,Epithelioid Cell Type Gastrointestinal Stromal Tumor,0.7646,False,False,False
EPITHELIOID FIBROSARCOMA,Sclerosing Epithelioid Fibrosarcoma,1,2,Sclerosing Epithelioid Fibrosarcoma,0.8210,Epithelioid Sarcoma,0.8170,Epithelioid Myxofibrosarcoma,0.8127,Epithelioid Mesothelioma,0.7620,Undifferentiated Epithelioid Sarcoma,0.7550,True,True,True
EPITHELIOID HEMANGIOENDOTHELIOMA,Epithelioid Hemangioendothelioma,1,2,Epithelioid Hemangioendothelioma,1.0000,Hemangioendothelioma,0.9078,Advanced Epithelioid Hemangioendothelioma,0.8994,Benign Hemangioendothelioma,0.8974,Bone Epithelioid Hemangioendothelioma,0.8821,True,True,True
EPITHELIOID MESOTHELIOMA,Epithelioid Mesothelioma,1,2,Epithelioid Mesothelioma,1.0000,Advanced Epithelioid Mesothelioma,0.8843,Pleural Epithelioid Mesothelioma,0.8577,Peritoneal Epithelioid Mesothelioma,0.8267,Malignant Mesothelioma,0.8215,True,True,True
EPITHELIOID SARCOMA,Epithelioid Sarcoma,1,2,Epithelioid Sarcoma,1.0000,Undifferentiated Epithelioid Sarcoma,0.8909,Localized Epithelioid Sarcoma,0.8789,Epithelioid Sarcoma NCI Grade 2,0.8772,Epithelioid Sarcoma NCI Grade 3,0.8730,True,True,True
EPITHELIOID TROPHOBLASTIC TUMOR,Epithelioid Trophoblastic Tumor,1,2,Epithelioid Trophoblastic Tumor,1.0000,Trophoblastic Tumor,0.7895,Mixed Trophoblastic Tumor,0.7355,Testicular Trophoblastic Tumor,0.7331,Epithelioid Mesothelioma,0.7112,True,True,True
EPITHELIOID_SARCOMA,Epithelioid Sarcoma,1,2,Epithelioid Sarcoma,0.9637,Undifferentiated Epithelioid Sarcoma,0.8819,Epithelioid Sarcoma NCI Grade 2,0.8740,Epithelioid Sarcoma NCI Grade 3,0.8722,Localized Epithelioid Sarcoma,0.8454,True,True,True
EPM,Ependymoma,2,2,Peritoneal Epithelioid Mesothelioma,0.6177,Ependymoma,0.5854,Pleural Epithelioid Mesothelioma,0.5822,Papillary Ependymoma,0.5579,Pigmented Epithelioid Melanocytoma,0.5508,False,True,True
ERDHEIM-CHESTER DISEASE,Erdheim-Chester Disease,1,2,Erdheim-Chester Disease,1.0000,Bone Erdheim-Chester Disease,0.9685,Cutaneous Erdheim-Chester Disease,0.8982,Central Nervous System Erdheim-Chester Disease,0.8202,Head and Neck Erdheim-Chester Disease,0.8119,True,True,True
ERYTHROLEUKEMIA,Erythroleukemia,1,2,Erythroleukemia,1.0000,Adult Erythroleukemia,0.8576,Pure Erythroid Leukemia,0.7793,Acute Erythroid Leukemia,0.7314,Leukemia,0.7077,True,True,True
ES,Ewing Sarcoma,1,2,Ewing Sarcoma,0.7195,Epithelial Synovial Sarcoma,0.6975,Skin Ewing Sarcoma,0.6855,Atypical Ewing Sarcoma,0.6837,Extraskeletal Ewing Sarcoma,0.6831,True,True,True
ESCA,Esophageal Carcinoma,99,2,Serous Endometrial Intraepithelial Carcinoma,0.5964,AESOP Syndrome,0.5761,Cellular Ependymoma,0.5724,Skin Ewing Sarcoma,0.5658,Extraocular Cutaneous Sebaceous Carcinoma,0.5634,False,False,False
ESCA_GS,Esophageal Adenocarcinoma,99,2,Serous Endometrial Intraepithelial Carcinoma,0.5902,Refractory Endometrial Serous Adenocarcinoma,0.5756,Subependymal Giant Cell Astrocytoma,0.5711,Aggressive Systemic Mastocytosis with an Associated Germ Cell Tumor,0.5681,Childhood Subependymal Giant Cell Astrocytoma,0.5638,False,False,False
ESOPHAGEAL ADENOCARCINOMA,Esophageal Adenocarcinoma,1,2,Esophageal Adenocarcinoma,1.0000,Esophageal Carcinoma,0.8854,Advanced Esophageal Adenocarcinoma,0.8837,Cervical Esophagus Adenocarcinoma,0.8597,Thoracic Esophagus Adenocarcinoma,0.8503,True,True,True
ESOPHAGEAL ADENOCARINOMA,Esophageal Adenocarcinoma,2,2,Esophageal Adenoid Cystic Carcinoma,0.8309,Esophageal Adenocarcinoma,0.7254,Esophageal Mixed Adenoneuroendocrine Carcinoma,0.7084,Esophageal Lipoma,0.7021,Esophageal Fibroma,0.6929,False,True,True
ESOPHAGEAL ADENOSQUAMOUS CARCINOMA,Esophageal Adenosquamous Carcinoma,1,2,Esophageal Adenosquamous Carcinoma,1.0000,Endometrial Adenosquamous Carcinoma,0.8161,Adenosquamous Carcinoma,0.7986,Gastric Adenosquamous Carcinoma,0.7667,Laryngeal Adenosquamous Carcinoma,0.7643,True,True,True
ESOPHAGEAL CANCER,Esophageal Carcinoma,1,2,Esophageal Carcinoma,0.9520,Esophageal Neoplasm,0.8830,Esophageal Adenocarcinoma,0.8520,Malignant Esophageal Neoplasm,0.8422,Advanced Esophageal Carcinoma,0.8001,True,True,True
