"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db","...5","...6","...7"
"DIFFUSE ASTROCYTOMA","Diffuse Astrocytoma","NCIT:C7173","NCIT",NA,NA,NA
"AML WITH RECURRENT GENETIC ABNORMALITIES","Acute Myeloid Leukemia with Recurrent Genetic Abnormalities","NCIT:C7175","NCIT",NA,NA,NA
"PRIMARY CUTANEOUS CD30 POSITIVE T-CELL LYMPHOPROLIFERATIVE DISORDERS","Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder","NCIT:C7195","NCIT",NA,NA,NA
"BLASTIC PLASMACYTOID DENDRITIC CELL NEOPLASM","Blastic Plasmacytoid Dendritic Cell Neoplasm","NCIT:C7203","NCIT",NA,NA,NA
"BASALOID LARGE CELL CARCINOMA OF THE LUNG","Lung Basaloid Large Cell Carcinoma","NCIT:C7266","NCIT",NA,NA,NA
"LUNG BRONCHIOLOALVEOLAR CARCINOMA MUCINOUS","Lung Mucinous Adenocarcinoma","NCIT:C7268","NCIT",NA,NA,NA
"LUNG BRONCHIOLOALVEOLAR CARCINOMA NONMUCINOUS","Lung Non-Mucinous Adenocarcinoma","NCIT:C7269","NCIT",NA,NA,NA
"MINIMALLY INVASIVE ADENOCARCINOMA, NON-MUCINOUS 82502","Minimally Invasive Lung Non-Mucinous Adenocarcinoma","NCIT:C7269","NCIT",NA,NA,NA
"ACUTE MONOBLASTIC/MONOCYTIC LEUKEMIA","Acute Monoblastic and Monocytic Leukemia","NCIT:C7318","NCIT",NA,NA,NA
"M5","Acute Monoblastic and Monocytic Leukemia","NCIT:C7318","NCIT",NA,NA,NA
"ACUTE MYELOGENOUS LEUKEMIA AML, M5 EOSINOPHILIC/MONOCYTIC","Acute Monoblastic and Monocytic Leukemia","NCIT:C7318","NCIT",NA,NA,NA
"ACUTE MYELOGENOUS LEUKEMIA M5A","Acute Monoblastic and Monocytic Leukemia","NCIT:C7318","NCIT",NA,NA,NA
"M5A","Acute Monoblastic and Monocytic Leukemia","NCIT:C7318","NCIT",NA,NA,NA
"ACUTE MYELOGENOUS LEUKEMIA AML, M5 MONOCYTIC","Acute Monoblastic and Monocytic Leukemia","NCIT:C7318","NCIT",NA,NA,NA
"ACUTE MONOBLASTIC AND MONOCYTIC LEUKAEMIA","Acute Monoblastic and Monocytic Leukemia","NCIT:C7318","NCIT",NA,NA,NA
"TESTICULAR SEMINOMA","Testicular Seminoma","NCIT:C7328","NCIT",NA,NA,NA
"TGCT SEM","Testicular Seminoma","NCIT:C7328","NCIT",NA,NA,NA
"TGCT_SEMINOMA","Testicular Seminoma","NCIT:C7328","NCIT",NA,NA,NA
"GALLBLADDER ADENOSQUAMOUS CARCINOMA","Gallbladder Adenosquamous Carcinoma","NCIT:C7356","NCIT",NA,NA,NA
"ADENOSQUAMOUS CARCINOMA OF THE GALLBLADDER","Gallbladder Adenosquamous Carcinoma","NCIT:C7356","NCIT",NA,NA,NA
"ADENOSQUAMOUS CARCINOMA OF GALLBLADDER","Gallbladder Adenosquamous Carcinoma","NCIT:C7356","NCIT",NA,NA,NA
"ENDOMETRIAL ADENOCARCINOMA","Endometrial Adenocarcinoma","NCIT:C7359","NCIT",NA,NA,NA
"ENDOMETRIAL_ADENOCARCINOMA","Endometrial Adenocarcinoma","NCIT:C7359","NCIT",NA,NA,NA
"FOLLICULAR, PAPILLARY","Thyroid Gland Papillary and Follicular Carcinoma","NCIT:C7380","NCIT",NA,NA,NA
"PAPILLARY, FOLLICULAR","Thyroid Gland Papillary and Follicular Carcinoma","NCIT:C7380","NCIT",NA,NA,NA
"HAIRY CELL LEUKEMIA","Hairy Cell Leukemia","NCIT:C7402","NCIT",NA,NA,NA
"HAIRY_CELL_LEUKEMIA","Hairy Cell Leukemia","NCIT:C7402","NCIT",NA,NA,NA
"PAPILLARY CARCINOMA, DIFFUSE SCLEROSING VARIANT","Diffuse Sclerosing Variant Thyroid Gland Papillary Carcinoma","NCIT:C7427","NCIT",NA,NA,NA
"DIFFUSE SCLEROSING VARIANT","Diffuse Sclerosing Variant Thyroid Gland Papillary Carcinoma","NCIT:C7427","NCIT",NA,NA,NA
"PAPILLARY INFILTRATING DUCTAL CARCINOMA-MAMMARY GLAND; BREAST","Breast Papillary Ductal Carcinoma with Invasion","NCIT:C7439","NCIT",NA,NA,NA
"PAPILLARY INFILTRATING DUCTAL CARCINOMA-MAMMARY GLAND","Breast Papillary Ductal Carcinoma with Invasion","NCIT:C7439","NCIT",NA,NA,NA
"PAPILLOMA","Papilloma","NCIT:C7440","NCIT",NA,NA,NA
"ACUTE MYELOMONOCYTIC LEUKEMIA","Acute Myelomonocytic Leukemia","NCIT:C7463","NCIT",NA,NA,NA
"M4","Acute Myelomonocytic Leukemia","NCIT:C7463","NCIT",NA,NA,NA
"ACUTE MYELOGENOUS LEUKEMIA AML, M4 MYELOMONOCYTIC","Acute Myelomonocytic Leukemia","NCIT:C7463","NCIT",NA,NA,NA
"ACUTE MYELOMONOCYTIC LEUKAEMIA","Acute Myelomonocytic Leukemia","NCIT:C7463","NCIT",NA,NA,NA
"ACUTE LEUKEMIAS OF AMBIGUOUS LINEAGE","Acute Leukemia of Ambiguous Lineage","NCIT:C7464","NCIT",NA,NA,NA
"ACUTE LEUKAEMIAS OF AMBIGUOUS LINEAGE","Acute Leukemia of Ambiguous Lineage","NCIT:C7464","NCIT",NA,NA,NA
"PURE ERYTHROID LEUKEMIA","Pure Erythroid Leukemia","NCIT:C7467","NCIT",NA,NA,NA
"RAEB","Myelodysplastic Syndrome with Excess Blasts","NCIT:C7506","NCIT",NA,NA,NA
"MDS WITH EXCESS BLASTS","Myelodysplastic Syndrome with Excess Blasts","NCIT:C7506","NCIT",NA,NA,NA
"REFRACTORY ANAEMIA WITH EXCESS BLASTS","Myelodysplastic Syndrome with Excess Blasts","NCIT:C7506","NCIT",NA,NA,NA
"ANGIOIMMUNOBLASTIC T-CELL LYMPHOMA","Angioimmunoblastic T-Cell Lymphoma","NCIT:C7528","NCIT",NA,NA,NA
"RETINOBLASTOMA","Retinoblastoma","NCIT:C7541","NCIT",NA,NA,NA
"RBL","Retinoblastoma","NCIT:C7541","NCIT",NA,NA,NA
"OVARIAN SEROUS CARCINOMA","Ovarian Serous Adenocarcinoma","NCIT:C7550","NCIT",NA,NA,NA
"SEROUS OVARIAN CANCER","Ovarian Serous Adenocarcinoma","NCIT:C7550","NCIT",NA,NA,NA
"SEROUS_CARCINOMA","Ovarian Serous Adenocarcinoma","NCIT:C7550","NCIT",NA,NA,NA
"ENDOMETRIAL CARCINOMA","Endometrial Carcinoma","NCIT:C7558","NCIT",NA,NA,NA
"ENDOMETRIAL CANCER","Endometrial Carcinoma","NCIT:C7558","NCIT",NA,NA,NA
"THYMOMA; TYPE C","Thymic Carcinoma","NCIT:C7569","NCIT",NA,NA,NA
"THYMIC CARCINOMA","Thymic Carcinoma","NCIT:C7569","NCIT",NA,NA,NA
"TYPE C","Thymic Carcinoma","NCIT:C7569","NCIT",NA,NA,NA
"RENAL MEDULLARY CARCINOMA","Kidney Medullary Carcinoma","NCIT:C7572","NCIT",NA,NA,NA
"MYOEPITHELIAL CARCINOMA","Malignant Myoepithelioma","NCIT:C7596","NCIT",NA,NA,NA
"SOFT TISSUE MYOEPITHELIAL CARCINOMA","Malignant Myoepithelioma","NCIT:C7596","NCIT",NA,NA,NA
"AML WITH MYELODYSPLASIA-RELATED CHANGES","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","NCIT:C7600","NCIT",NA,NA,NA
"ACUTE MYELOID LEUKEMIA WITH MYELODYSPLASIA RELATED CHANGES","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","NCIT:C7600","NCIT",NA,NA,NA
"PERITONEAL MESOTHELIOMA","Peritoneal Mesothelioma","NCIT:C7633","NCIT",NA,NA,NA
"SOLITARY FIBROUS TUMOR","Solitary Fibrous Tumor","NCIT:C7634","NCIT",NA,NA,NA
"SOLITARY FIBROUS TUMOR/HEMANGIOPERICYTOMA","Solitary Fibrous Tumor","NCIT:C7634","NCIT",NA,NA,NA
"ADAMANTINOMA","Adamantinoma","NCIT:C7644","NCIT",NA,NA,NA
"INFILTRATING DUCTAL AND LOBULAR CARCINOMA","Invasive Breast Ductal Carcinoma and Lobular Carcinoma","NCIT:C7688","NCIT",NA,NA,NA
"INVASIVE DUCTAL AND LOBULAR CARCINOMA","Invasive Breast Ductal Carcinoma and Lobular Carcinoma","NCIT:C7688","NCIT",NA,NA,NA
"CANCER IDENTIFICATION MIDLC","Invasive Breast Ductal Carcinoma and Lobular Carcinoma","NCIT:C7688","NCIT",NA,NA,NA
"OVARIAN ADENOCARCINOMA","Ovarian Adenocarcinoma","NCIT:C7700","NCIT",NA,NA,NA
"OVARY_ADENOCARCINOMA","Ovarian Adenocarcinoma","NCIT:C7700","NCIT",NA,NA,NA
"UVEAL MELANOMA","Uveal Melanoma","NCIT:C7712","NCIT",NA,NA,NA
"UVM","Uveal Melanoma","NCIT:C7712","NCIT",NA,NA,NA
"UVEAL_MELANOMA","Uveal Melanoma","NCIT:C7712","NCIT",NA,NA,NA
"MELANOMA UVEAL","Uveal Melanoma","NCIT:C7712","NCIT",NA,NA,NA
"UM","Uveal Melanoma","NCIT:C7712","NCIT",NA,NA,NA
"APPENDICEAL ADENOCARCINOMA","Appendix Adenocarcinoma","NCIT:C7718","NCIT",NA,NA,NA
"APAD","Appendix Adenocarcinoma","NCIT:C7718","NCIT",NA,NA,NA
"CARCINOMA, GINGIVAL","Gingival Carcinoma","NCIT:C7721","NCIT",NA,NA,NA
"SMALL BOWEL CANCER","Small Intestinal Carcinoma","NCIT:C7724","NCIT",NA,NA,NA
"SMALL INTESTINAL CARCINOMA","Small Intestinal Carcinoma","NCIT:C7724","NCIT",NA,NA,NA
"SBS","Small Intestinal Carcinoma","NCIT:C7724","NCIT",NA,NA,NA
"SMALL BOWEL CARCINOMA","Small Intestinal Carcinoma","NCIT:C7724","NCIT",NA,NA,NA
"PENILE SQUAMOUS CELL CARCINOMA","Squamous Cell Carcinoma of the Penis","NCIT:C7729","NCIT",NA,NA,NA
"SMALL BOWEL ADENOCARCINOMA","Small Intestinal Adenocarcinoma","NCIT:C7888","NCIT",NA,NA,NA
"DUODENAL ADENOCARCINOMA","Duodenal Adenocarcinoma","NCIT:C7889","NCIT",NA,NA,NA
"DUODENAL_ADENOCARCINOMA","Duodenal Adenocarcinoma","NCIT:C7889","NCIT",NA,NA,NA
"HEPATOBILIARY CANCER","Liver and Intrahepatic Bile Duct Carcinoma","NCIT:C7927","NCIT",NA,NA,NA
"LIVER CANCER, NOS","Liver and Intrahepatic Bile Duct Carcinoma","NCIT:C7927","NCIT",NA,NA,NA
"BILIARY TRACT CANCER, NOS","Liver and Intrahepatic Bile Duct Carcinoma","NCIT:C7927","NCIT",NA,NA,NA
"LIVER_CANCER","Liver and Intrahepatic Bile Duct Carcinoma","NCIT:C7927","NCIT",NA,NA,NA
"BREAST INVASIVE LOBULAR CARCINOMA","Invasive Breast Lobular Carcinoma","NCIT:C7950","NCIT",NA,NA,NA
"INFILTRATING LOBULAR CARCINOMA","Invasive Breast Lobular Carcinoma","NCIT:C7950","NCIT",NA,NA,NA
"CANCER IDENTIFICATION ILC","Invasive Breast Lobular Carcinoma","NCIT:C7950","NCIT",NA,NA,NA
"COLON MUCINOUS ADENOCARCINOMA","Colon Mucinous Adenocarcinoma","NCIT:C7966","NCIT",NA,NA,NA
"RECTAL MUCINOUS ADENOCARCINOMA","Rectal Mucinous Adenocarcinoma","NCIT:C7973","NCIT",NA,NA,NA
"EXTRAHEPATIC CHOLANGIOCARCINOMA","Extrahepatic Bile Duct Adenocarcinoma","NCIT:C7975","NCIT",NA,NA,NA
"CHOLANGIO EXTRAHEPATIC","Extrahepatic Bile Duct Adenocarcinoma","NCIT:C7975","NCIT",NA,NA,NA
"CHOL EXTRA","Extrahepatic Bile Duct Adenocarcinoma","NCIT:C7975","NCIT",NA,NA,NA
"CHOLANGIOCARCINOMA; DISTAL","Distal Bile Duct Adenocarcinoma","NCIT:C7976","NCIT",NA,NA,NA
"ACINAR CELL CARCINOMA OF THE PANCREAS","Pancreatic Acinar Cell Carcinoma","NCIT:C7977","NCIT",NA,NA,NA
"ENDOMETRIOID OVARIAN CANCER","Ovarian Endometrioid Adenocarcinoma","NCIT:C7979","NCIT",NA,NA,NA
"CYSTADENOCARCINOMA, CLEAR CELL","Ovarian Clear Cell Cystadenocarcinoma","NCIT:C7980","NCIT",NA,NA,NA
"VAGINAL ADENOCARCINOMA","Vaginal Adenocarcinoma","NCIT:C7981","NCIT",NA,NA,NA
"SMALL CELL CARCINOMA OF THE CERVIX","Cervical Small Cell Neuroendocrine Carcinoma","NCIT:C7982","NCIT",NA,NA,NA
"CERVICAL_SMALL_CELL","Cervical Small Cell Neuroendocrine Carcinoma","NCIT:C7982","NCIT",NA,NA,NA
"EPITHELIOID MESOTHELIOMA","Epithelioid Mesothelioma","NCIT:C7985","NCIT",NA,NA,NA
"SQUAMOUS CELL CARCINOMA, SALIVARY GLAND","Salivary Gland Squamous Cell Carcinoma","NCIT:C7991","NCIT",NA,NA,NA
"THYMOMA; TYPE B3","Thymoma Type B3","NCIT:C7997","NCIT",NA,NA,NA
"TYPE B3","Thymoma Type B3","NCIT:C7997","NCIT",NA,NA,NA
"B3","Thymoma Type B3","NCIT:C7997","NCIT",NA,NA,NA
"SALIVARY ADENOCARCINOMA","Salivary Gland Adenocarcinoma","NCIT:C8021","NCIT",NA,NA,NA
"SALIVARY ADENOCARCINOMA NOS","Salivary Gland Adenocarcinoma","NCIT:C8021","NCIT",NA,NA,NA
"UTERINE CLEAR CELL CARCINOMA","Endometrial Clear Cell Adenocarcinoma","NCIT:C8028","NCIT",NA,NA,NA
"HIGH-GRADE B-CELL LYMPHOMA, NOS","High Grade B-Cell Lymphoma, Not Otherwise Specified","NCIT:C80291","NCIT",NA,NA,NA
"WALDENSTROM MACROGLOBULINEMIA","Waldenstrom Macroglobulinemia","NCIT:C80307","NCIT",NA,NA,NA
"MONOCLONAL B-CELL LYMPHOCYTOSIS","Monoclonal B-Cell Lymphocytosis","NCIT:C80310","NCIT",NA,NA,NA
"B-LYMPHOBLASTIC LEUKEMIA/LYMPHOMA WITH T9;22Q34.1;Q11.2","B Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2); BCR-ABL1","NCIT:C80331","NCIT",NA,NA,NA
"B-LYMPHOBLASTIC LEUKEMIA/LYMPHOMA WITH T9;22Q34.1;Q11.2;BCR-ABL1","B Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2); BCR-ABL1","NCIT:C80331","NCIT",NA,NA,NA
"PH-LIKEALL","B Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2); BCR-ABL1","NCIT:C80331","NCIT",NA,NA,NA
"LOW HYPODIPLOID","B Lymphoblastic Leukemia/Lymphoma with Hypodiploidy","NCIT:C80338","NCIT",NA,NA,NA
"MASKED LOW HYPODIPLOID","B Lymphoblastic Leukemia/Lymphoma with Hypodiploidy","NCIT:C80338","NCIT",NA,NA,NA
"FOLLICULAR THYROID CANCER","Thyroid Gland Follicular Carcinoma","NCIT:C8054","NCIT",NA,NA,NA
"FOLLICULAR CARCINOMA","Thyroid Gland Follicular Carcinoma","NCIT:C8054","NCIT",NA,NA,NA
"FOLLICULAR THYROID CARCINOMA","Thyroid Gland Follicular Carcinoma","NCIT:C8054","NCIT",NA,NA,NA
"FOLLICULAR_CARCINOMA","Thyroid Gland Follicular Carcinoma","NCIT:C8054","NCIT",NA,NA,NA
"CARCINOMA, FOLLICULAR","Thyroid Gland Follicular Carcinoma","NCIT:C8054","NCIT",NA,NA,NA
"DYSGERMINOMA","Ovarian Dysgerminoma","NCIT:C8106","NCIT",NA,NA,NA
"OROPHARYNX SQUAMOUS CELL CARCINOMA","Oropharyngeal Squamous Cell Carcinoma","NCIT:C8181","NCIT",NA,NA,NA
"MIXED PHENOTYPE ACUTE LEUKEMIA, B/MYELOID, NOS","Mixed Phenotype Acute Leukemia, B/Myeloid, Not Otherwise Specified","NCIT:C82212","NCIT",NA,NA,NA
"MIXED PHENOTYPE ACUTE LEUKEMIA, T/MYELOID, NOS","Mixed Phenotype Acute Leukemia, T/Myeloid, Not Otherwise Specified","NCIT:C82213","NCIT",NA,NA,NA
"MIXED PHENOTYPE ACUTE LEUKAEMIA, T/MYELOID, NOS","Mixed Phenotype Acute Leukemia, T/Myeloid, Not Otherwise Specified","NCIT:C82213","NCIT",NA,NA,NA
"NATURAL KILLER CELL LYMPHOBLASTIC LEUKEMIA/LYMPHOMA","Natural Killer Cell Lymphoblastic Leukemia/Lymphoma","NCIT:C82217","NCIT",NA,NA,NA
"NATURAL KILLER NK CELL LYMPHOBLASTIC LEUKEMIA/LYMPHOMA","Natural Killer Cell Lymphoblastic Leukemia/Lymphoma","NCIT:C82217","NCIT",NA,NA,NA
"NKC","Natural Killer Cell Lymphoblastic Leukemia/Lymphoma","NCIT:C82217","NCIT",NA,NA,NA
"MLL TRANSLOCATION, T9;11","Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL","NCIT:C82403","NCIT",NA,NA,NA
"AML WITH T9;11P22;Q23;  MLLT3-MLL","Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL","NCIT:C82403","NCIT",NA,NA,NA
"AML WITH T9;11P22;Q23; MLLT3-MLL","Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL","NCIT:C82403","NCIT",NA,NA,NA
"AML WITH T6:9P23:Q34.1; DEK-NUP214","Acute Myeloid Leukemia with t(6;9) (p23;q34.1); DEK-NUP214","NCIT:C82423","NCIT",NA,NA,NA
"AML WITH T6;9P23;Q34.1;DEK-NUP214","Acute Myeloid Leukemia with t(6;9) (p23;q34.1); DEK-NUP214","NCIT:C82423","NCIT",NA,NA,NA
"AML WITH T6;9P23;Q34; DEK-NUP214","Acute Myeloid Leukemia with t(6;9) (p23;q34.1); DEK-NUP214","NCIT:C82423","NCIT",NA,NA,NA
"AML WITH INV3Q21.3;Q26.2 OR T3;3Q21.3;Q26.2; GATA2, MECOM","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM","NCIT:C82426","NCIT",NA,NA,NA
"AML WITH INV3Q21;Q26.2 OR T3;3Q21;Q26.2; RPN1-EVI1","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM","NCIT:C82426","NCIT",NA,NA,NA
"AML WITH INV3Q21.3Q26.2 OR T3;3Q21.3;Q26.2; GATA2, MECOM","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM","NCIT:C82426","NCIT",NA,NA,NA
"AML WITH INV3Q21Q26.2 OR T3;3Q21;Q26.2; RPN1-EVI1","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM","NCIT:C82426","NCIT",NA,NA,NA
"AML WITH MUTATED NPM1","Acute Myeloid Leukemia with Mutated NPM1","NCIT:C82431","NCIT",NA,NA,NA
"AML WITH MUTATED CEBPA","Acute Myeloid Leukemia with Mutated CEBPA","NCIT:C82433","NCIT",NA,NA,NA
"MDS WITH SINGLE LINEAGE DYSPLASIA","Myelodysplastic Syndrome with Single Lineage Dysplasia","NCIT:C82591","NCIT",NA,NA,NA
"MDS/MPN WITH RING SIDEROBLASTS AND THROMBOCYTOSIS","Myelodysplastic/Myeloproliferative Neoplasm with Ring Sideroblasts and Thrombocytosis","NCIT:C82616","NCIT",NA,NA,NA
"RARS-T","Myelodysplastic/Myeloproliferative Neoplasm with Ring Sideroblasts and Thrombocytosis","NCIT:C82616","NCIT",NA,NA,NA
"PANCREATIC ADENOCARCINOMA","Pancreatic Adenocarcinoma","NCIT:C8294","NCIT",NA,NA,NA
"PANCREAS-ADENOCARCINOMA-OTHER SUBTYPE","Pancreatic Adenocarcinoma","NCIT:C8294","NCIT",NA,NA,NA
"PAAD","Pancreatic Adenocarcinoma","NCIT:C8294","NCIT",NA,NA,NA
"DESMOPLASTIC SMALL ROUND CELL TUMOR","Desmoplastic Small Round Cell Tumor","NCIT:C8300","NCIT",NA,NA,NA
"DESMOPLASTIC SMALL-ROUND-CELL TUMOR","Desmoplastic Small Round Cell Tumor","NCIT:C8300","NCIT",NA,NA,NA
"SMALL ROUND BLUE CELL TUMOR","Desmoplastic Small Round Cell Tumor","NCIT:C8300","NCIT",NA,NA,NA
"MALIGNANT_PAPILLARY_SEROUS_ADENOCARCINOMA","Papillary Serous Cystadenocarcinoma","NCIT:C8377","NCIT",NA,NA,NA
"GIANT CELL 'MFH' / UNDIFFERENTIATED PLEOMORPHIC SARCOMA WITH GIANT CELLS","Undifferentiated Pleomorphic Sarcoma with Osteoclast-Like Giant Cells","NCIT:C8380","NCIT",NA,NA,NA
"DIFFUSE MALIGNANT MESOTHELIOMA - NOS","Diffuse Malignant Mesothelioma","NCIT:C8420","NCIT",NA,NA,NA
"MASTOCYTOSIS","Mastocytosis","NCIT:C84269","NCIT",NA,NA,NA
"AML WITH MINIMAL DIFFERENTIATION","Acute Myeloid Leukemia with Minimal Differentiation","NCIT:C8460","NCIT",NA,NA,NA
"M0","Acute Myeloid Leukemia with Minimal Differentiation","NCIT:C8460","NCIT",NA,NA,NA
"CHRONIC LYMPHOBLASTIC LEUKEMIA CLL, B-CELL","Chronic Lymphoblastic Lymphoma","NCIT:C8502","NCIT",NA,NA,NA
"TUMOR PRIMARY","Primary Neoplasm","NCIT:C8509","NCIT",NA,NA,NA
"PRIMARY RESIDUAL","Primary Neoplasm","NCIT:C8509","NCIT",NA,NA,NA
"PRIMARY TUMOUR","Primary Neoplasm","NCIT:C8509","NCIT",NA,NA,NA
"LOCALLY ADVANCED","Locally Advanced Malignant Neoplasm","NCIT:C8524","NCIT",NA,NA,NA
"OCULAR MELANOMA","Ocular Melanoma","NCIT:C8562","NCIT",NA,NA,NA
"OPTIC PATHWAY GLIOMA","Visual Pathway Glioma","NCIT:C8567","NCIT",NA,NA,NA
"REFRACTORY CYTOPENIA WITH MULTILINEAGE DYSPLASIA","Myelodysplastic Syndrome with Multilineage Dysplasia","NCIT:C8574","NCIT",NA,NA,NA
"RCMD","Myelodysplastic Syndrome with Multilineage Dysplasia","NCIT:C8574","NCIT",NA,NA,NA
"MDS WITH MULTILINEAGE DYSPLASIA","Myelodysplastic Syndrome with Multilineage Dysplasia","NCIT:C8574","NCIT",NA,NA,NA
"TGCT","Testicular Germ Cell Tumor","NCIT:C8591","NCIT",NA,NA,NA
"ACUTE_LYMPHOBLASTIC_B_CELL_LEUKAEMIA","B Acute Lymphoblastic Leukemia","NCIT:C8644","NCIT",NA,NA,NA
"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, B-CELL","B Acute Lymphoblastic Leukemia","NCIT:C8644","NCIT",NA,NA,NA
"B-CELL_ALL","B Acute Lymphoblastic Leukemia","NCIT:C8644","NCIT",NA,NA,NA
"B-CELL ACUTE LYMPHOID LEUKEMIA","B Acute Lymphoblastic Leukemia","NCIT:C8644","NCIT",NA,NA,NA
"BCP-ALL","B Acute Lymphoblastic Leukemia","NCIT:C8644","NCIT",NA,NA,NA
"MDS-U","Myelodysplastic Syndrome, Unclassifiable","NCIT:C8648","NCIT",NA,NA,NA
"MYELODYSPLASTIC SYNDROME, UNCLASSIFIABLE","Myelodysplastic Syndrome, Unclassifiable","NCIT:C8648","NCIT",NA,NA,NA
"MDS, UNCLASSIFIABLE","Myelodysplastic Syndrome, Unclassifiable","NCIT:C8648","NCIT",NA,NA,NA
"T-LYMPHOBLASTIC LEUKEMIA/LYMPHOMA","T Lymphoblastic Leukemia/Lymphoma","NCIT:C8694","NCIT",NA,NA,NA
"TLL","T Lymphoblastic Leukemia/Lymphoma","NCIT:C8694","NCIT",NA,NA,NA
"PRE-T","T Lymphoblastic Leukemia/Lymphoma","NCIT:C8694","NCIT",NA,NA,NA
"ENDOMETRIAL SQUAMOUS CELL CARCINOMA","Endometrial Squamous Cell Carcinoma","NCIT:C8719","NCIT",NA,NA,NA
"ENDOMETRIAL_SQUAMOUS","Endometrial Squamous Cell Carcinoma","NCIT:C8719","NCIT",NA,NA,NA
"EXTRASKELETAL OSTEOSARCOMA","Extraskeletal Osteosarcoma","NCIT:C8810","NCIT",NA,NA,NA
"DIFFUSE LARGE B-CELL LYMPHOMA","Diffuse Large B-Cell Lymphoma","NCIT:C8851","NCIT",NA,NA,NA
"DLBCL","Diffuse Large B-Cell Lymphoma","NCIT:C8851","NCIT",NA,NA,NA
"DIFFUSE LARGE B-CELL LYMPHOMA DLBCL","Diffuse Large B-Cell Lymphoma","NCIT:C8851","NCIT",NA,NA,NA
"DIFFUSE LARGE B-CELL LYMPHOMA, NOS","Diffuse Large B-Cell Lymphoma","NCIT:C8851","NCIT",NA,NA,NA
"DIFFUSE_LARGE_B_CELL_LYMPHOMA","Diffuse Large B-Cell Lymphoma","NCIT:C8851","NCIT",NA,NA,NA
"DIFFUSE LARGE B-CELL LYMPHOMA DLBCL NOS ANY ANATOMIC SITE NODAL OR EXTRANODAL","Diffuse Large B-Cell Lymphoma","NCIT:C8851","NCIT",NA,NA,NA
"DIFFSE LARGE B-CELL LYMPHOMA","Diffuse Large B-Cell Lymphoma","NCIT:C8851","NCIT",NA,NA,NA
"LYMPHOMA_DLBCL","Diffuse Large B-Cell Lymphoma","NCIT:C8851","NCIT",NA,NA,NA
"DLBC","Diffuse Large B-Cell Lymphoma","NCIT:C8851","NCIT",NA,NA,NA
"NODAL MARGINAL ZONE LYMPHOMA","Nodal Marginal Zone Lymphoma","NCIT:C8863","NCIT",NA,NA,NA
"ACUTE ERYTHROID LEUKEMIA","Acute Erythroid Leukemia","NCIT:C8923","NCIT",NA,NA,NA
"ACUTE ERYTHROID LEUKAEMIA","Acute Erythroid Leukemia","NCIT:C8923","NCIT",NA,NA,NA
"ACUTE MYELOGENOUS LEUKEMIA AML, M6 ERYTHROLEUKEMIA","Acute Erythroid Leukemia","NCIT:C8923","NCIT",NA,NA,NA
"M6","Acute Erythroid Leukemia","NCIT:C8923","NCIT",NA,NA,NA
"B-LYMPHOBLASTIC LEUKEMIA/LYMPHOMA","B Lymphoblastic Leukemia/Lymphoma","NCIT:C8936","NCIT",NA,NA,NA
"BLL","B Lymphoblastic Leukemia/Lymphoma","NCIT:C8936","NCIT",NA,NA,NA
"SYNOVIAL","Synovial Neoplasm","NCIT:C8964","NCIT",NA,NA,NA
"SYNOVIAL","Synovial Neoplasm","NCIT:C8964","NCIT",NA,NA,NA
"PARAOSTEAL OSTEOSARCOMA","Parosteal Osteosarcoma","NCIT:C8969","NCIT",NA,NA,NA
"PERIOSTEAL OSTEOSARCOMA","Periosteal Osteosarcoma","NCIT:C8970","NCIT",NA,NA,NA
"EMBRYONAL RHABDOMYOSARCOMA","Embryonal Rhabdomyosarcoma","NCIT:C8971","NCIT",NA,NA,NA
"RHABDOMYOSARCOMA, EMBRYONAL","Embryonal Rhabdomyosarcoma","NCIT:C8971","NCIT",NA,NA,NA
"UNDIFFERENTIATED UTERINE SARCOMA","Uterine Corpus Undifferentiated Sarcoma","NCIT:C8972","NCIT",NA,NA,NA
"ENDOMETRIAL STROMAL SARCOMA","Endometrioid Stromal Sarcoma","NCIT:C8973","NCIT",NA,NA,NA
"ENDOMETRIAL_STROMAL_SARCOMA","Endometrioid Stromal Sarcoma","NCIT:C8973","NCIT",NA,NA,NA
