original_value,curated_ontology,match_level,top_results
DISTANT METASTASIS: LUNG,Distant Metastasis<;>Lung,0,Distant Metastasis (Score: 0.9739);Metastasis (Score: 0.9351);Site of Metastasis (Score: 0.9293);Metastatic (Score: 0.9280);Metastatic Lesion (Score: 0.9262)
MIXED INFILTRATING LOBULAR AND GRADE 1 DUCTAL CARCINOMA,Breast Mixed Ductal and Lobular Carcinoma,1,Breast Mixed Ductal and Lobular Carcinoma (Score: 0.9676);Invasive Breast Ductal Carcinoma and Lobular Carcinoma (Score: 0.9531);Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma (Score: 0.9515);Pancreatic Mixed Acinar-Ductal Carcinoma (Score: 0.9432);Invasive Breast Lobular Carcinoma (Score: 0.9341)
COLUMNAR,Columnar Cell,1,Columnar Cell (Score: 0.9688);Columnar Cell Variant Thyroid Gland Papillary Carcinoma (Score: 0.9098);Colon (Score: 0.8924);Colorectal (Score: 0.8843);Barrett Adenocarcinoma (Score: 0.8765)
ATYPICAL NEVUS,Dysplastic Nevus,4,Atypical (Score: 0.9566);Atypical Meningioma (Score: 0.9283);Atypical Spindle Melanocyte (Score: 0.9267);Dysplastic Nevus (Score: 0.9137);Atypical Teratoid/Rhabdoid Tumor (Score: 0.9080)
LOBULAR,Lobular,1,Lobular (Score: 1.0000);Breast Lobular Carcinoma (Score: 0.9471);Invasive Breast Lobular Carcinoma (Score: 0.9288);Invasive Breast Ductal Carcinoma and Lobular Carcinoma (Score: 0.9234);Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma (Score: 0.9184)
LOCOREGIONAL & DISTANT,"Locally Recurrent Malignant Neoplasm<;>Recurrent Disease, Distant Site",0,"Recurrent Disease, Distant Site (Score: 0.9166);Distant Metastasis (Score: 0.9137);Distant (Score: 0.9099);Neoplasm Recurrence, Local (Score: 0.8939);Local-Regional (Score: 0.8911)"
LYMPHOMA_UNSPECIFIED,Lymphoma,2,"High Grade B-Cell Lymphoma, Not Otherwise Specified (Score: 0.9317);Lymphoma (Score: 0.9259);Peripheral T-Cell Lymphoma, Not Otherwise Specified (Score: 0.9181);Non-Hodgkin Lymphoma (Score: 0.9175);Malignant Lymphoma, Large Cell, Non-Cleaved (Score: 0.9159)"
EPM,Ependymoma,0,"Epithelioid Cell (Score: 0.8967);Epithelioid Melanocyte (Score: 0.8959);Esophagus (Score: 0.8942);Endometrium (Score: 0.8928);Posterior Fossa Ependymoma, Group B (PFB) (Score: 0.8908)"
INFILTRATING TUBULAR CARCINOMA,Breast Tubular Carcinoma,2,Infiltrating Urothelial Carcinoma (Score: 0.9462);Breast Tubular Carcinoma (Score: 0.9456);Tubular Adenocarcinoma (Score: 0.9433);Gastric Tubular Adenocarcinoma (Score: 0.9272);Tubulolobular Breast Carcinoma (Score: 0.9253)
MCRC PRIMARY,Metastatic Colorectal Carcinoma<;>Primary,0,Primary (Score: 0.9183);Primary Myelofibrosis (Score: 0.9018);Metastatic Colorectal Carcinoma (Score: 0.8941);Metastatic (Score: 0.8891);Primary Neoplasm (Score: 0.8886)
RETINOBLASTOMA,Retinoblastoma,1,Retinoblastoma (Score: 1.0000);Rhabdomyosarcoma (Score: 0.9186);Medulloblastoma (Score: 0.9133);Trilateral Retinoblastoma (Score: 0.9084);Rhabdoid Tumor (Score: 0.9047)
SOLID PAPILLARY CARCINOMA OF THE BREAST,Breast Solid Papillary Carcinoma,1,Breast Solid Papillary Carcinoma (Score: 0.9930);Papillary Carcinoma (Score: 0.9580);Breast Papillary Ductal Carcinoma with Invasion (Score: 0.9500);Papillary Adenocarcinoma (Score: 0.9377);Papillary Transitional Cell Carcinoma (Score: 0.9370)
"ACUTE MYELOGENOUS LEUKEMIA AML, M6 ERYTHROLEUKEMIA",Acute Erythroid Leukemia,5,Acute Myelomonocytic Leukemia (Score: 0.9459);Acute Monoblastic and Monocytic Leukemia (Score: 0.9437);Acute Myeloid Leukemia (Score: 0.9436);Acute Monocytic Leukemia (Score: 0.9398);Acute Erythroid Leukemia (Score: 0.9371)
SARCOMA,Sarcoma,1,Sarcoma (Score: 1.0000);Bone Sarcoma (Score: 0.9625);Breast Sarcoma (Score: 0.9568);Sarcomatoid Carcinoma (Score: 0.9562);Synovial Sarcoma (Score: 0.9469)
AML WITH INV3Q21Q26.2 OR T3;3Q21;Q26.2; RPN1-EVI1,"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM",1,"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM (Score: 0.9528);Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM (Score: 0.9528);Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11 (Score: 0.9515);Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA (Score: 0.9482);Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL (Score: 0.9474)"
"ADENOCARCINOMA, SEROUS",Serous Adenocarcinoma,1,Serous Adenocarcinoma (Score: 0.9842);Ovarian Serous Adenocarcinoma (Score: 0.9736);Endometrial Serous Adenocarcinoma (Score: 0.9643);Adenocarcinoma (Score: 0.9548);Ovarian High Grade Serous Adenocarcinoma (Score: 0.9519)
MISCELLANEOUS NEUROEPITHELIAL TUMOR,Neuroepithelial Neoplasm,1,"Neuroepithelial Neoplasm (Score: 0.9381);Dysembryoplastic Neuroepithelial Tumor (Score: 0.9269);Polymorphous Low Grade Neuroepithelial Tumor of the Young (Score: 0.9030);Central Nervous System Embryonal Tumor, Not Otherwise Specified (Score: 0.8988);Glioneuronal Tumor (Score: 0.8987)"
TRANSVERSE COLON,Transverse Colon,1,Transverse Colon (Score: 1.0000);Colon (Score: 0.9316);Sigmoid Colon (Score: 0.9297);Ascending Colon (Score: 0.9282);Descending Colon (Score: 0.9263)
GALLBLADDER CARCINOMA OTHER,Gallbladder Carcinoma,1,Gallbladder Carcinoma (Score: 0.9636);Gallbladder Adenocarcinoma (Score: 0.9459);Gallbladder Squamous Cell Carcinoma (Score: 0.9334);Gallbladder Large Cell Neuroendocrine Carcinoma (Score: 0.9320);Gallbladder Small Cell Neuroendocrine Carcinoma (Score: 0.9317)
FIBROLAMELLAR HEPATOCELLUAR CARCINOMA,Fibrolamellar Carcinoma,1,Fibrolamellar Carcinoma (Score: 0.9701);Hepatocellular Carcinoma (Score: 0.9439);Pleomorphic Hepatocellular Carcinoma (Score: 0.9288);Hepatoblastoma (Score: 0.9144);Hepatocellular Adenoma (Score: 0.9113)
INCIDENTAL PROSTATE CANCER,Prostate Carcinoma<;>Incidental Finding,0,Incidental Finding (Score: 0.9320);Prostate Adenocarcinoma (Score: 0.9130);Prostate Carcinoma (Score: 0.9125);Prostate Neuroendocrine Carcinoma (Score: 0.9072);Metastatic Prostate Carcinoma (Score: 0.9044)
MELANOMA OTHER,Melanoma,1,Melanoma (Score: 0.9560);Cutaneous Melanoma (Score: 0.9197);Ocular Melanoma (Score: 0.9186);Melanoma of Unknown Primary (Score: 0.9165);Melanoma Involvement of Regional Cutaneous or Subcutaneous Tissue (Score: 0.9066)
EMBRYONAL TUMOR,Embryonal Neoplasm,1,"Embryonal Neoplasm (Score: 0.9814);Embryonal Carcinoma (Score: 0.9795);Central Nervous System Embryonal Tumor (Score: 0.9592);Embryonal Rhabdomyosarcoma (Score: 0.9492);Central Nervous System Embryonal Tumor, Not Otherwise Specified (Score: 0.9325)"
HEAD AND NECK,Head and Neck,1,Head and Neck (Score: 1.0000);Head and Neck Carcinoma (Score: 0.9618);Head and Neck Squamous Cell Carcinoma (Score: 0.9426);Head and Neck Neuroendocrine Carcinoma (Score: 0.9376);Malignant Head and Neck Neoplasm (Score: 0.9302)
RECTAL MUCINOUS ADENOCARCINOMA,Rectal Mucinous Adenocarcinoma,1,Rectal Mucinous Adenocarcinoma (Score: 1.0000);Mucinous Adenocarcinoma (Score: 0.9705);Colon Mucinous Adenocarcinoma (Score: 0.9666);Rectal Adenocarcinoma (Score: 0.9622);Gastric Mucinous Adenocarcinoma (Score: 0.9581)
CHROMOPHOBE,Chromophobe Renal Cell Carcinoma,1,Chromophobe Renal Cell Carcinoma (Score: 0.9426);Classic Variant of Chromophobe Renal Cell Carcinoma (Score: 0.9194);Eosinophilic Variant of Chromophobe Renal Cell Carcinoma (Score: 0.9111);Chromothripsis (Score: 0.9054);Choriocarcinoma (Score: 0.8815)
MYXOID CHONDROSARCOMA,Extraskeletal Myxoid Chondrosarcoma,1,Extraskeletal Myxoid Chondrosarcoma (Score: 0.9517);Myxoid Liposarcoma (Score: 0.9465);Chondrosarcoma (Score: 0.9450);Myxoma (Score: 0.9386);Mesenchymal Chondrosarcoma (Score: 0.9302)
CYSTOADENOCARCINOMA-PD,Cystadenocarcinoma<;>Poorly Differentiated,0,Cystadenocarcinoma (Score: 0.9136);Pancreatic Serous Cystadenoma (Score: 0.9101);Ovarian Clear Cell Cystadenocarcinoma (Score: 0.8962);Mucinous Cystadenocarcinoma (Score: 0.8960);Papillary Serous Cystadenocarcinoma (Score: 0.8953)
ABC,Activated B-Cell Positive,0,Brain (Score: 0.8827);Biopsy (Score: 0.8813);Bladder (Score: 0.8758);Breast (Score: 0.8740);Hemangioma (Score: 0.8723)
M2AUER,Acute Myeloid Leukemia with Maturation<;>Auer Rods Present,0,Jejunum (Score: 0.8719);Melanoma (Score: 0.8659);Metastasis (Score: 0.8626);Metastatic (Score: 0.8616);Peritoneum (Score: 0.8609)
MELANOMA,Melanoma,1,Melanoma (Score: 1.0000);Cutaneous Melanoma (Score: 0.9557);Ocular Melanoma (Score: 0.9425);Mucosal Melanoma (Score: 0.9424);Uveal Melanoma (Score: 0.9347)
ILC HR+HER2-,Invasive Breast Lobular Carcinoma<;>Hormone Receptor-Positive Breast Carcinoma<;>HER2/Neu Negative,0,HER2-Positive Breast Carcinoma (Score: 0.9074);HER2/Neu Positive (Score: 0.8972);Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma (Score: 0.8947);Invasive Breast Ductal Carcinoma and Lobular Carcinoma (Score: 0.8925);HER2/Neu Negative (Score: 0.8921)
GIST,Gastrointestinal Stromal Tumor,0,Stomach (Score: 0.9169);Gastric (Score: 0.8948);Leiomyosarcoma (Score: 0.8947);Hemangioma (Score: 0.8940);Rectum (Score: 0.8903)
PRIMARY CUTANEOUS CD30 POSITIVE T-CELL LYMPHOPROLIFERATIVE DISORDERS,Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder,1,Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder (Score: 0.9981);Primary Cutaneous T-Cell Non-Hodgkin Lymphoma (Score: 0.9492);Primary Cutaneous CD8-Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma (Score: 0.9433);Cutaneous T-Cell Non-Hodgkin Lymphoma (Score: 0.9290);Primary Mediastinal (Thymic) Large B-Cell Lymphoma (Score: 0.9149)
INTERMEDIATELY DIFFERENTIATED ADENOCARCINOMA,Moderately Differentiated Adenocarcinoma Cell,1,Moderately Differentiated Adenocarcinoma Cell (Score: 0.9476);Poorly Differentiated Adenocarcinoma (Score: 0.9421);Pancreatic Moderately Differentiated Ductal Adenocarcinoma (Score: 0.9357);Poorly Differentiated Adenocarcinoma Cell (Score: 0.9313);Adenocarcinoma with Neuroendocrine Differentiation (Score: 0.9291)
OROPHARYNX SQUAMOUS CELL CARCINOMA,Oropharyngeal Squamous Cell Carcinoma,1,Oropharyngeal Squamous Cell Carcinoma (Score: 0.9903);Pharyngeal Squamous Cell Carcinoma (Score: 0.9706);Hypopharyngeal Squamous Cell Carcinoma (Score: 0.9592);Head and Neck Squamous Cell Carcinoma (Score: 0.9592);Oral Cavity Squamous Cell Carcinoma (Score: 0.9546)
AMELANOTIC NODULAR,Cutaneous Nodular Melanoma,2,"Amelanotic Melanoma (Score: 0.9421);Cutaneous Nodular Melanoma (Score: 0.9183);Nodular Neoplasm (Score: 0.9158);Ganglioneuroblastoma, Nodular (Score: 0.8922);Desmoplastic/Nodular Medulloblastoma (Score: 0.8904)"
PROSTATE SMALL CELL CARCINOMA,Prostate Small Cell Neuroendocrine Carcinoma,1,Prostate Small Cell Neuroendocrine Carcinoma (Score: 0.9773);Small Cell Adenocarcinoma (Score: 0.9593);Lung Small Cell Carcinoma (Score: 0.9544);Prostate Carcinoma (Score: 0.9503);Prostate Squamous Cell Carcinoma (Score: 0.9486)
RT,Rhabdoid Tumor,0,ETV4 Gene (Score: 0.8820);Tongue (Score: 0.8786);Rectum (Score: 0.8760);Brain (Score: 0.8756);Testicular Seminoma (Score: 0.8754)
GALLBLADDER CARCINOMA,Gallbladder Carcinoma,1,Gallbladder Carcinoma (Score: 1.0000);Gallbladder Adenocarcinoma (Score: 0.9709);Gallbladder Squamous Cell Carcinoma (Score: 0.9568);Gastric Carcinoma (Score: 0.9531);Gallbladder Adenosquamous Carcinoma (Score: 0.9519)
WILMS,Wilms Tumor,1,Wilms Tumor (Score: 0.9560);Kidney (Score: 0.8887);Hemangioma (Score: 0.8874);Omentum (Score: 0.8781);Hepatoblastoma (Score: 0.8764)
NON-GERMINOMATOUS GERM CELL TUMOR,Nongerminomatous Germ Cell Tumor,1,Nongerminomatous Germ Cell Tumor (Score: 0.9707);Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9702);Extragonadal Germ Cell Tumor (Score: 0.9500);Germ Cell Tumor (Score: 0.9477);Testicular Germ Cell Tumor (Score: 0.9342)
STAD,Gastric Adenocarcinoma,0,Angiosarcoma (Score: 0.8802);Anorectal (Score: 0.8711);SPOP Gene (Score: 0.8693);Breast Angiosarcoma (Score: 0.8693);Tongue (Score: 0.8687)
OS,Osteosarcoma,1,Osteosarcoma (Score: 0.9164);Ovary (Score: 0.8964);Osteoblastic Osteosarcoma (Score: 0.8936);Ovarian Serous Adenocarcinoma (Score: 0.8920);Secondary Osteosarcoma (Score: 0.8918)
MIXED DUCTAL 65% AND ACINAR,Prostate Acinar Adenocarcinoma<;>Prostate Ductal Adenocarcinoma,0,Pancreatic Mixed Acinar-Ductal Carcinoma (Score: 0.9483);Breast Mixed Ductal and Lobular Carcinoma (Score: 0.9333);Pancreatic Mixed Acinar-Neuroendocrine Carcinoma (Score: 0.9249);Pancreatic Mixed Ductal-Neuroendocrine Carcinoma (Score: 0.9173);Pancreatic Moderately Differentiated Ductal Adenocarcinoma (Score: 0.9173)
THYROID_SQUAMOUS,thyroid gland squamous cell carcinoma,1,thyroid gland squamous cell carcinoma (Score: 0.9677);Squamous Cell Carcinoma (Score: 0.9256);Thymic Squamous Cell Carcinoma (Score: 0.9255);Laryngeal Squamous Cell Carcinoma (Score: 0.9249);Thyroid Gland Carcinoma (Score: 0.9224)
UTERINE CARCINOSARCOMA/ MALIGNANT MIXED MULLERIAN TUMOR MMMT: NOS,Uterine Carcinosarcoma<;>Malignant Mixed Mesodermal (Mullerian) Tumor,0,"Malignant Mixed Mesodermal (Mullerian) Tumor (Score: 0.9408);Uterine Carcinosarcoma, Heterologous Type (Score: 0.9281);Breast Mixed Epithelial/Mesenchymal Metaplastic Carcinoma (Score: 0.9264);Uterine Carcinosarcoma (Score: 0.9253);Mixed Carcinoma (Score: 0.9246)"
MYXOFIBROSARCOMA,Myxofibrosarcoma,1,Myxofibrosarcoma (Score: 1.0000);Myxoid Liposarcoma (Score: 0.9476);Myxoma (Score: 0.9383);Myelofibrosis (Score: 0.9297);Myxoinflammatory Fibroblastic Sarcoma (Score: 0.9254)
METAPLASTIC CARCINOMA,Metaplastic Carcinoma,1,Metaplastic Carcinoma (Score: 1.0000);Breast Metaplastic Carcinoma (Score: 0.9798);Metaplastic (Score: 0.9706);Breast Mixed Epithelial/Mesenchymal Metaplastic Carcinoma (Score: 0.9507);Metaplasia (Score: 0.9304)
ADENOCARCINOMA-MD,Adenocarcinoma<;>Moderately Differentiated,0,Adenocarcinoma (Score: 0.9673);Breast Adenocarcinoma (Score: 0.9472);Prostate Adenocarcinoma (Score: 0.9469);Lung Adenocarcinoma (Score: 0.9431);Colon Adenocarcinoma (Score: 0.9397)
NON-SEMINOMA; YOLK SAC TUMOR,Nonseminomatous<;>Yolk Sac Tumor,0,"Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9533);Yolk Sac Tumor (Score: 0.9487);Central Nervous System Embryonal Tumor, Not Otherwise Specified (Score: 0.9259);Teratoma with Somatic-Type Malignancy (Score: 0.9218);Testicular Seminoma (Score: 0.9212)"
POORLY DIFFERENTIATED PANCREATIC ADENOCARCINOMA,Pancreatic Adenocarcinoma<;>Poorly Differentiated Adenocarcinoma Cell,0,Poorly Differentiated Adenocarcinoma (Score: 0.9801);Poorly Differentiated Adenocarcinoma Cell (Score: 0.9708);Pancreatic Moderately Differentiated Ductal Adenocarcinoma (Score: 0.9692);Pancreatic Adenocarcinoma (Score: 0.9555);Well Differentiated Adenocarcinoma Cell (Score: 0.9487)
HAIRY CELL LEUKEMIA,Hairy Cell Leukemia,1,Hairy Cell Leukemia (Score: 1.0000);Hairy Cell (Score: 0.9383);Hematopoietic and Lymphoid Cell Neoplasm (Score: 0.9092);Plasma Cell Leukemia (Score: 0.9066);Adult T-Cell Leukemia/Lymphoma (Score: 0.9062)
BLUE NEVUS,Blue Nevus,1,Blue Nevus (Score: 1.0000);Dysplastic Nevus (Score: 0.8965);Hemangioma (Score: 0.8964);Hemangioblastoma (Score: 0.8780);Benign Neoplasm (Score: 0.8764)
PRIMARY ESOPHAGUS,Gastroesophageal Cancer<;>Primary Neoplasm,0,Primary (Score: 0.9437);Esophagus (Score: 0.9333);Primary Myelofibrosis (Score: 0.9030);Primary Neoplasm (Score: 0.8981);Primary Effusion Lymphoma (Score: 0.8932)
ADRENOCORTICAL CARCINOMA- MYXOID TYPE,Adrenal Cortical Myxoid Carcinoma,1,Adrenal Cortical Myxoid Carcinoma (Score: 0.9637);Adrenal Cortical Carcinoma (Score: 0.9294);Adrenal Cortical Oncocytic Carcinoma (Score: 0.9285);Myxoma (Score: 0.9236);Adrenal Gland Carcinoma (Score: 0.9225)
BRCA_NORMAL,Breast Carcinoma,0,Normal Breast-Like Subtype of Breast Carcinoma (Score: 0.9058);HER2-Positive Breast Carcinoma (Score: 0.8927);Basal-Like Breast Carcinoma (Score: 0.8924);Normal Karyotype (Score: 0.8915);Breast (Score: 0.8898)
METASTATIC_OVARIAN_CANCER,Metastatic Ovarian Carcinoma,1,Metastatic Ovarian Carcinoma (Score: 0.9842);Metastatic (Score: 0.9460);Metastatic Prostate Carcinoma (Score: 0.9345);Ovarian Carcinoma (Score: 0.9329);Metastatic Colorectal Carcinoma (Score: 0.9326)
SURGERY,Surgical Procedure,1,Surgical Procedure (Score: 0.9627);Resection (Score: 0.9101);Anastomosis (Score: 0.8986);Cystectomy (Score: 0.8772);Hemangioma (Score: 0.8753)
ESOPHAGEAL ADENOCARCINOMA,Esophageal Adenocarcinoma,1,Esophageal Adenocarcinoma (Score: 1.0000);Esophageal Carcinoma (Score: 0.9681);Adenocarcinoma (Score: 0.9559);Gastroesophageal Junction Adenocarcinoma (Score: 0.9524);Endometrial Adenocarcinoma (Score: 0.9519)
DUCTAL/NST,Breast Ductal Carcinoma,2,Ductal (Score: 0.9430);Breast Ductal Carcinoma (Score: 0.9035);Duct (Score: 0.9008);Invasive Breast Ductal Carcinoma and Lobular Carcinoma (Score: 0.8998);Pancreatic Ductal Adenocarcinoma (Score: 0.8993)
HCC ON HCA,Hepatocellular Adenoma<;>Hepatocellular Carcinoma,0,Hepatocellular Carcinoma (Score: 0.9143);Hepatocellular Adenoma (Score: 0.9079);Combined Hepatocellular Carcinoma and Cholangiocarcinoma (Score: 0.9037);Hepatoblastoma (Score: 0.8994);Pleomorphic Hepatocellular Carcinoma (Score: 0.8883)
M4,Acute Myelomonocytic Leukemia,0,Thymoma Type B3 (Score: 0.8720);22)(q34.1 (Score: 0.8595);Manubrium (Score: 0.8523);Mesenchymal (Score: 0.8508);Muscle (Score: 0.8479)
DIFFUSE (LINITUS-PLASTICUS),Linitis Plastica,1,"Linitis Plastica (Score: 0.9164);Diffuse (Score: 0.9153);Malignant Lymphoma, Histiocytic, Diffuse (Score: 0.9018);Diffuse Sclerosing Variant Thyroid Gland Papillary Carcinoma (Score: 0.8943);Diffuse Large B-Cell Lymphoma (Score: 0.8940)"
RECTAL ADENOCARCINOMA,Rectal Adenocarcinoma,1,Rectal Adenocarcinoma (Score: 1.0000);Rectal Mucinous Adenocarcinoma (Score: 0.9622);Colorectal Adenocarcinoma (Score: 0.9619);Colon Adenocarcinoma (Score: 0.9505);Adenocarcinoma (Score: 0.9473)
COAD_POLE,Colon Adenocarcinoma<;>POLE Gene Mutation,0,POLE-Ultramutated Endometrial Endometrioid Adenocarcinoma (Score: 0.8850);POLE Gene Mutation (Score: 0.8826);Hypermutated Colorectal Carcinoma (Score: 0.8729);Colon Adenocarcinoma (Score: 0.8689);Colorectal Adenocarcinoma (Score: 0.8679)
INFILTRATING CARCINOMA NOS,Invasive Breast Carcinoma,2,Infiltrating Urothelial Carcinoma (Score: 0.9468);Invasive Breast Carcinoma (Score: 0.9266);Carcinoma (Score: 0.9251);infiltrating bladder urothelial carcinoma sarcomatoid variant (Score: 0.9215);Invasive Breast Lobular Carcinoma (Score: 0.9195)
HEPTOCELLULAR CARCINOMA,Hepatocellular Carcinoma,1,Hepatocellular Carcinoma (Score: 0.9306);Carcinoma (Score: 0.9225);Breast Carcinoma (Score: 0.9172);Nasopharyngeal Carcinoma (Score: 0.9144);Pleomorphic Hepatocellular Carcinoma (Score: 0.9106)
CUTANEOUS MALIGNANCY OF HAIR MATRIX CELLS,Pilomatrical Carcinoma,0,Malignant Skin Neoplasm (Score: 0.9293);Cutaneous Melanoma (Score: 0.9231);Skin Carcinoma (Score: 0.9140);Skin Fibroblastic Neoplasm (Score: 0.9113);Skin Metatypical Carcinoma (Score: 0.9112)
LOW-GRADE NEUROEPITHELIAL TUMOR,Polymorphous Low Grade Neuroepithelial Tumor of the Young,1,Polymorphous Low Grade Neuroepithelial Tumor of the Young (Score: 0.9526);Neuroepithelial Neoplasm (Score: 0.9428);Low Grade Glioma (Score: 0.9358);Dysembryoplastic Neuroepithelial Tumor (Score: 0.9271);Low Grade Astrocytoma (Score: 0.9152)
PURE ERYTHROID LEUKEMIA,Pure Erythroid Leukemia,1,Pure Erythroid Leukemia (Score: 1.0000);Acute Erythroid Leukemia (Score: 0.9462);Erythroleukemia (Score: 0.9147);Acute Megakaryoblastic Leukemia (Score: 0.9037);Leukemia (Score: 0.9034)
PRO MYELOCYTIC LEUKEMIA,Acute Promyelocytic Leukemia with PML-RARA,0,Myeloproliferative Neoplasm (Score: 0.9332);Myelodysplastic/Myeloproliferative Neoplasm (Score: 0.9298);Chronic Myelogenous Leukemia (Score: 0.9255);Acute Myelomonocytic Leukemia (Score: 0.9249);Myelofibrosis (Score: 0.9223)
PERITONEUM,Peritoneum,1,Peritoneum (Score: 1.0000);Peritoneal Mesothelioma (Score: 0.9355);Abdomen (Score: 0.9087);Omentum (Score: 0.9038);Mucosa (Score: 0.9035)
GOBLET CELL ADENOCARCINOMA OF THE APPENDIX,Appendix Goblet Cell Adenocarcinoma,1,Appendix Goblet Cell Adenocarcinoma (Score: 0.9919);Appendix Adenocarcinoma (Score: 0.9587);Appendix Mucinous Adenocarcinoma (Score: 0.9546);Appendix Carcinoma (Score: 0.9337);Gastric Adenocarcinoma (Score: 0.9277)
SKIN_SQUAMOUS,Skin Squamous Cell Carcinoma,1,Skin Squamous Cell Carcinoma (Score: 0.9588);Squamous Cell Carcinoma (Score: 0.9405);Skin Acantholytic Squamous Cell Carcinoma (Score: 0.9359);Skin (Score: 0.9311);Lung Squamous Cell Carcinoma (Score: 0.9280)
DUCTAL/LOBULAR,Breast Mixed Ductal and Lobular Carcinoma,5,Lobular (Score: 0.9593);Ductal (Score: 0.9578);Invasive Breast Ductal Carcinoma and Lobular Carcinoma (Score: 0.9457);Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma (Score: 0.9431);Breast Mixed Ductal and Lobular Carcinoma (Score: 0.9406)
SMALL CELL,Small Cell,1,"Small Cell (Score: 1.0000);Small Cell Adenocarcinoma (Score: 0.9449);Small Cell Osteosarcoma (Score: 0.9395);Malignant Tumor, Small Cell Type (Score: 0.9292);Small Cell Neuroendocrine Carcinoma (Score: 0.9288)"
YOLK SAC TUMORNON-SEMINOMA,Nonseminomatous<;>Yolk Sac Tumor,0,Yolk Sac Tumor (Score: 0.9623);Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9394);Testicular Seminoma (Score: 0.9379);Testicular Germ Cell Tumor (Score: 0.9360);Germ Cell Tumor (Score: 0.9264)
NON-SEMINOMA; CHORIOCARCINOMANON-SEMINOMA; EMBRYONAL CARCINOMANON-SEMINOMA; YOLK SAC TUMORNON-SEMINOMA; TERATOMA MATURENON-SEMINOMA; TERATOMA IMMATURE,Nonseminomatous<;>Immature Teratoma<;>Yolk Sac Tumor<;>Embryonal Carcinoma<;>Choriocarcinoma<;>Mature Teratoma,0,"Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9391);Teratoma with Somatic-Type Malignancy (Score: 0.9292);Central Nervous System Embryonal Tumor, Not Otherwise Specified (Score: 0.9262);Choriocarcinoma (Score: 0.9227);Yolk Sac Tumor (Score: 0.9160)"
