original_value,curated_ontology,curated_ontology_term_id,curated_ontology_term_db
SYNOVIAL,Synovial Neoplasm,NCIT:C8964,NCIT
PARAOSTEAL OSTEOSARCOMA,Parosteal Osteosarcoma,NCIT:C8969,NCIT
PERIOSTEAL OSTEOSARCOMA,Periosteal Osteosarcoma,NCIT:C8970,NCIT
EMBRYONAL RHABDOMYOSARCOMA,Embryonal Rhabdomyosarcoma,NCIT:C8971,NCIT
"RHABDOMYOSARCOMA, EMBRYONAL",Embryonal Rhabdomyosarcoma,NCIT:C8971,NCIT
UNDIFFERENTIATED UTERINE SARCOMA,Uterine Corpus Undifferentiated Sarcoma,NCIT:C8972,NCIT
ENDOMETRIAL STROMAL SARCOMA,Endometrioid Stromal Sarcoma,NCIT:C8973,NCIT
ENDOMETRIAL_STROMAL_SARCOMA,Endometrioid Stromal Sarcoma,NCIT:C8973,NCIT
MMMT,Female Reproductive System Carcinosarcoma,NCIT:C8975,NCIT
MULLERIAN CARCINOMA,Female Reproductive System Carcinosarcoma,NCIT:C8975,NCIT
MULLERIAN_CARCINOMA,Female Reproductive System Carcinosarcoma,NCIT:C8975,NCIT
MALIGNANT MIXED MULLERIAN TUMOR MMMT,Female Reproductive System Carcinosarcoma,NCIT:C8975,NCIT
ADRENOCORTICAL ADENOMA,Adrenal Cortical Adenoma,NCIT:C9003,NCIT
MATURE TERATOMA,Mature Teratoma,NCIT:C9015,NCIT
TERATOMA MATURE,Mature Teratoma,NCIT:C9015,NCIT
CERVICAL CANCER,Cervical Carcinoma,NCIT:C9039,NCIT
"CERVICAL CANCER, NOS",Cervical Carcinoma,NCIT:C9039,NCIT
CARCINOMA OF UTERINE CERVIX,Cervical Carcinoma,NCIT:C9039,NCIT
CERVICAL_CARCINOMA,Cervical Carcinoma,NCIT:C9039,NCIT
PENILE CANCER,Penile Carcinoma,NCIT:C9061,NCIT
BLAST_PHASE_CHRONIC_MYELOID_LEUKAEMIA,"Blast Phase Chronic Myeloid Leukemia, BCR-ABL1 Positive",NCIT:C9110,NCIT
SARCOMA,Sarcoma,NCIT:C9118,NCIT
"SARCOMA, NOS",Sarcoma,NCIT:C9118,NCIT
UNCLASSIFIED SARCOMA,Sarcoma,NCIT:C9118,NCIT
SARC,Sarcoma,NCIT:C9118,NCIT
SARC_OTHER,Sarcoma,NCIT:C9118,NCIT
MEDULLARY BREAST CARCINOMA,Breast Medullary Carcinoma,NCIT:C9119,NCIT
PANCREATIC DUCTAL ADENOCARCINOMA,Pancreatic Ductal Adenocarcinoma,NCIT:C9120,NCIT
DUCTAL ADENOCARCINOMA,Pancreatic Ductal Adenocarcinoma,NCIT:C9120,NCIT
PANCREAS-ADENOCARCINOMA DUCTAL TYPE,Pancreatic Ductal Adenocarcinoma,NCIT:C9120,NCIT
BREAST INVASIVE MIXED MUCINOUS CARCINOMA,Breast Mucinous Carcinoma,NCIT:C9131,NCIT
LUNG ADENOSQUAMOUS CARCINOMA,Lung Adenosquamous Carcinoma,NCIT:C9133,NCIT
INFILTRATING TUBULAR CARCINOMA,Breast Tubular Carcinoma,NCIT:C9135,NCIT
COMBINED SMALL CELL LUNG CARCINOMA,Combined Lung Small Cell Carcinoma,NCIT:C9137,NCIT
OSTEOSARCOMA,Osteosarcoma,NCIT:C9145,NCIT
OS,Osteosarcoma,NCIT:C9145,NCIT
BOTRYOID,Botryoid-Type Embryonal Rhabdomyosarcoma,NCIT:C9150,NCIT
LENTIGO MALIGNA MELANOMA,Lentigo Maligna Melanoma,NCIT:C9151,NCIT
SUPERFICIAL SPREADING MELANOMA,Low-CSD Melanoma,NCIT:C9152,NCIT
SUPERFICIAL SPREADING,Low-CSD Melanoma,NCIT:C9152,NCIT
INTESTINAL_ADENOCARCINOMA,Gastric Intestinal-Type Adenocarcinoma,NCIT:C9157,NCIT
INTESTINAL TYPE STOMACH ADENOCARCINOMA,Gastric Intestinal-Type Adenocarcinoma,NCIT:C9157,NCIT
"STOMACH, INTESTINAL ADENOCARCINOMA, NOT OTHERWISE SPECIFIED NOS",Gastric Intestinal-Type Adenocarcinoma,NCIT:C9157,NCIT
DIFFUSE_ADENOCARCINOMA,Gastric Diffuse Adenocarcinoma,NCIT:C9159,NCIT
DIFFUSE TYPE STOMACH ADENOCARCINOMA,Gastric Diffuse Adenocarcinoma,NCIT:C9159,NCIT
"STOMACH, ADENOCARCINOMA, DIFFUSE TYPE",Gastric Diffuse Adenocarcinoma,NCIT:C9159,NCIT
DIFFUSE_GASTRIC,Gastric Diffuse Adenocarcinoma,NCIT:C9159,NCIT
ANAL SQUAMOUS CELL CARCINOMA,Anal Squamous Cell Carcinoma,NCIT:C9161,NCIT
ANAL SQUAMOUS CELL,Anal Squamous Cell Carcinoma,NCIT:C9161,NCIT
ANSC,Anal Squamous Cell Carcinoma,NCIT:C9161,NCIT
GALLBLADDER ADENOCARCINOMA,Gallbladder Adenocarcinoma,NCIT:C9166,NCIT
ADENOCARCINOMA OF GALLBLADDER,Gallbladder Adenocarcinoma,NCIT:C9166,NCIT
"GALLBLADDER ADENOCARCINOMA, NOS",Gallbladder Adenocarcinoma,NCIT:C9166,NCIT
GALLBLADDER_ADENOCARCINOMA,Gallbladder Adenocarcinoma,NCIT:C9166,NCIT
SQUAMOUS CELL CARCINOMA OF GALLBLADDER,Gallbladder Squamous Cell Carcinoma,NCIT:C9170,NCIT
CARCINOMA WITH SQUAMOUS DIFFERENTIATION,Gallbladder Squamous Cell Carcinoma,NCIT:C9170,NCIT
DESMOID FIBROMATOSIS,Desmoid Fibromatosis,NCIT:C9182,NCIT
DESMOID TUMOR,Desmoid Fibromatosis,NCIT:C9182,NCIT
DESMOID/AGGRESSIVE FIBROMATOSIS,Desmoid Fibromatosis,NCIT:C9182,NCIT
OVARIAN CARCINOSARCOMA/MALIGNANT MIXED MESODERMAL TUMOR,Ovarian Carcinosarcoma,NCIT:C9192,NCIT
MERKEL CELL CARCINOMA,Merkel Cell Carcinoma,NCIT:C9231,NCIT
MERKEL_CELL_CARCINOMA,Merkel Cell Carcinoma,NCIT:C9231,NCIT
SYSTEMIC MASTOCYTOSIS,Systemic Mastocytosis,NCIT:C9235,NCIT
INVASIVE BREAST CARCINOMA,Invasive Breast Carcinoma,NCIT:C9245,NCIT
INVASIVE BREAST CANCER,Invasive Breast Carcinoma,NCIT:C9245,NCIT
INFILTRATING CARCINOMA NOS,Invasive Breast Carcinoma,NCIT:C9245,NCIT
BREAST INVASIVE CARCINOMA,Invasive Breast Carcinoma,NCIT:C9245,NCIT
BREAST INVASIVE CARCINOMA BRCA,Invasive Breast Carcinoma,NCIT:C9245,NCIT
"BREAST INVASIVE CANCER, NOS",Invasive Breast Carcinoma,NCIT:C9245,NCIT
BREAST INVASIVE CARCINOMA NOS,Invasive Breast Carcinoma,NCIT:C9245,NCIT
ANGIOCENTRIC GLIOMA,Angiocentric Glioma,NCIT:C92552,NCIT
EXTRAVENTRICULAR NEUROCYTOMA,Extraventricular Neurocytoma,NCIT:C92555,NCIT
ANAPLASTIC MEDULLOBLASTOMA,Anaplastic Medulloblastoma,NCIT:C92625,NCIT
MYCOSIS_FUNGOIDES-SEZARY_SYNDROME,Mycosis Fungoides and Sezary Syndrome,NCIT:C9265,NCIT
SALIVARY GLAND CANCER,Salivary Gland Carcinoma,NCIT:C9272,NCIT
SALIVARY CANCER,Salivary Gland Carcinoma,NCIT:C9272,NCIT
SALIVARY CARCINOMA,Salivary Gland Carcinoma,NCIT:C9272,NCIT
"SALIVARY CARCINOMA, OTHER",Salivary Gland Carcinoma,NCIT:C9272,NCIT
PRIMARY MEDIASTINAL THYMIC LARGE B-CELL LYMPHOMA,Primary Mediastinal Large B-Cell Lymphoma,NCIT:C9280,NCIT
PRIMARY MEDIASTINAL THYMIC DLBCL,Primary Mediastinal Large B-Cell Lymphoma,NCIT:C9280,NCIT
B_CELL_MEDIASTINAL_LARGE,Primary Mediastinal Large B-Cell Lymphoma,NCIT:C9280,NCIT
FOLLICULAR DENDRITIC CELL SARCOMA,Follicular Dendritic Cell Sarcoma,NCIT:C9281,NCIT
AML WITH INV16P13.1;Q22 OR T16:16P13.1:Q22;  CBFB-MYH11,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,NCIT:C9287,NCIT
AML WITH INV16P13.1Q22 OR T16;16P13.1;Q22; CBFB-MYH11,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,NCIT:C9287,NCIT
AML WITH INV16P13.1Q22 OR T16;16P13.1;Q22;CBFB-MYH11,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,NCIT:C9287,NCIT
AML WITH T8;21Q22;Q22.1; RUNX1-RUNX1T1,Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1,NCIT:C9288,NCIT
AML WITH T8;21Q22;Q22.1;RUNX1-RUNX1T1,Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1,NCIT:C9288,NCIT
AML WITH T8;21Q22;Q22; RUNX1-RUNX1T1,Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1,NCIT:C9288,NCIT
ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA,Acute Myeloid Leukemia with Multilineage Dysplasia,NCIT:C9289,NCIT
"ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA, NOT HAVING ACHIEVED REMISSION",Acute Myeloid Leukemia with Multilineage Dysplasia,NCIT:C9289,NCIT
MYELOID NEOPLASM,Myeloid Neoplasm,NCIT:C9290,NCIT
ANAL CANCER,Anal Carcinoma,NCIT:C9291,NCIT
INITIAL CNS TUMOR,Central Nervous System Neoplasm,NCIT:C9293,NCIT
INITIAL CNS TUMOR LAST INITIAL,Central Nervous System Neoplasm,NCIT:C9293,NCIT
INITIAL CNS TUMOR FIRST HGG RECORD,Central Nervous System Neoplasm,NCIT:C9293,NCIT
INITIAL CNS TUMOR NEW LOCATION,Central Nervous System Neoplasm,NCIT:C9293,NCIT
HISTIOCYTIC AND DENDRITIC CELL NEOPLASMS,Histiocytic and Dendritic Cell Neoplasm,NCIT:C9294,NCIT
HISTIOCYTIC DENDRITIC CELL SARCOMA,Histiocytic and Dendritic Cell Neoplasm,NCIT:C9294,NCIT
ADENOCARCINOMA OF THE GASTROESOPHAGEAL JUNCTION,Gastroesophageal Junction Adenocarcinoma,NCIT:C9296,NCIT
ESOPHAGOGASTRIC ADENOCARCINOMA,Gastroesophageal Junction Adenocarcinoma,NCIT:C9296,NCIT
"BLADDER/URINARY TRACT CANCER, NOS",Malignant Urinary System Neoplasm,NCIT:C9297,NCIT
ACUTE UNDIFFERENTIATED LEUKEMIA,Acute Undifferentiated Leukemia,NCIT:C9298,NCIT
ACUTE UNDIFFERENTIATED LEUKAEMIA,Acute Undifferentiated Leukemia,NCIT:C9298,NCIT
MALIGNANT TUMOR,Malignant Neoplasm,NCIT:C9305,NCIT
CANCER OF UNKNOWN PRIMARY,Malignant Neoplasm,NCIT:C9305,NCIT
SOFT TISSUE SARCOMA,Soft Tissue Sarcoma,NCIT:C9306,NCIT
SOFT TISSUE SARCOMA OTHER,Soft Tissue Sarcoma,NCIT:C9306,NCIT
SEMINOMA; NOS,Seminoma,NCIT:C9309,NCIT
SEMINOMA,Seminoma,NCIT:C9309,NCIT
BONE SARCOMA,Bone Sarcoma,NCIT:C9312,NCIT
BONE SARCOMA OTHER,Bone Sarcoma,NCIT:C9312,NCIT
TESTICULAR NON-SEMINOMA,Testicular Non-Seminomatous Germ Cell Tumor,NCIT:C9313,NCIT
TGCT NON-SEM,Testicular Non-Seminomatous Germ Cell Tumor,NCIT:C9313,NCIT
TGCT_NON-SEMINOMA,Testicular Non-Seminomatous Germ Cell Tumor,NCIT:C9313,NCIT
ADRENOCORTICAL CARCINOMA,Adrenal Cortical Carcinoma,NCIT:C9325,NCIT
ACC,Adrenal Cortical Carcinoma,NCIT:C9325,NCIT
ADRENOCORTICAL CARCINOMA- USUAL TYPE,Adrenal Cortical Carcinoma,NCIT:C9325,NCIT
APPENDICEAL CANCER,Appendix Carcinoma,NCIT:C9330,NCIT
PERIPHERAL NEUROECTODERMAL TUMOR,Peripheral Primitive Neuroectodermal Tumor,NCIT:C9341,NCIT
PINEOBLASTOMA,Pineoblastoma,NCIT:C9344,NCIT
PLASMACYTOMA,Plasmacytoma,NCIT:C9349,NCIT
PLEURAL MESOTHELIOMA,Pleural Mesothelial Neoplasm,NCIT:C9351,NCIT
PLMESO,Pleural Mesothelial Neoplasm,NCIT:C9351,NCIT
HODGKIN LYMPHOMA,Hodgkin Lymphoma,NCIT:C9357,NCIT
HODGKIN_LYMPHOMA,Hodgkin Lymphoma,NCIT:C9357,NCIT
LYMPHOMA_HODGKIN,Hodgkin Lymphoma,NCIT:C9357,NCIT
"B-CELL, HODGKINS",Hodgkin Lymphoma,NCIT:C9357,NCIT
HODGKINS,Hodgkin Lymphoma,NCIT:C9357,NCIT
LYMPHOBLASTIC LYMPHOMA,Lymphoblastic Lymphoma,NCIT:C9360,NCIT
LYMPHOBLASTIC_LYMPHOMA,Lymphoblastic Lymphoma,NCIT:C9360,NCIT
RECTAL ADENOCARCINOMA,Rectal Adenocarcinoma,NCIT:C9383,NCIT
READ,Rectal Adenocarcinoma,NCIT:C9383,NCIT
READ_GS,Rectal Adenocarcinoma,NCIT:C9383,NCIT
KIDNEY CANCER,Kidney Carcinoma,NCIT:C9384,NCIT
"KIDNEY CANCER, NOS",Kidney Carcinoma,NCIT:C9384,NCIT
RENAL CANCER,Kidney Carcinoma,NCIT:C9384,NCIT
KIDNEY_CANCER,Kidney Carcinoma,NCIT:C9384,NCIT
RENAL CELL CARCINOMA,Renal Cell Carcinoma,NCIT:C9385,NCIT
RENAL_CELL_CARCINOMA,Renal Cell Carcinoma,NCIT:C9385,NCIT
KIDNEY RENAL CELL CARCINOMA,Renal Cell Carcinoma,NCIT:C9385,NCIT
RENAL NON-CLEAR CELL CARCINOMA,Renal Cell Carcinoma,NCIT:C9385,NCIT
REL CELL CARCINOMA,Renal Cell Carcinoma,NCIT:C9385,NCIT
KIDNEY RENAL CELL CARCINOMA OTHER,Renal Cell Carcinoma,NCIT:C9385,NCIT
UNCLASSIFIED KIDNEY RENAL CELL CARCINOMA,Renal Cell Carcinoma,NCIT:C9385,NCIT
WELL-DIFFERENTIATED LEIOMYOSARCOMA RESEMBLING LEIOMYOMA,Well Differentiated Leiomyosarcoma,NCIT:C9389,NCIT
CONVENTIONAL LEIOMYOSARCOMA,Conventional Leiomyosarcoma,NCIT:C9428,NCIT
PITUICYTOMA,Pituicytoma,NCIT:C94524,NCIT
SMALL CELL BLADDER CANCER,Bladder Small Cell Neuroendocrine Carcinoma,NCIT:C9461,NCIT
ADENOSARCOMA,Adenosarcoma,NCIT:C9474,NCIT
DIFFUSE INTRINSIC PONTINE GLIOMA,Diffuse Intrinsic Pontine Glioma,NCIT:C94764,NCIT
DIPG,Diffuse Intrinsic Pontine Glioma,NCIT:C94764,NCIT
ANAPLASTIC ASTROCYTOMA,Anaplastic Astrocytoma,NCIT:C9477,NCIT
"ASTROCYTOMA, ANAPLASTIC",Anaplastic Astrocytoma,NCIT:C9477,NCIT
LOCOREGIONAL RECURRENCE,Locally Recurrent Malignant Neoplasm,NCIT:C94796,NCIT
THRBCL,T-Cell/Histiocyte-Rich Large B-Cell Lymphoma,NCIT:C9496,NCIT
DYSEMBRYOPLASTIC NEUROEPITHELIAL TUMOR,Dysembryoplastic Neuroepithelial Tumor,NCIT:C9505,NCIT
GASTROINTESTINAL NEUROENDOCRINE TUMOR,Digestive System Neuroendocrine Tumor,NCIT:C95404,NCIT
GASTROINTESTINAL NEUROENDOCRINE TUMORS,Digestive System Neuroendocrine Tumor,NCIT:C95404,NCIT
GASTROINTESTINAL NEUROENDOCRINE,Digestive System Neuroendocrine Tumor,NCIT:C95404,NCIT
GINET,Digestive System Neuroendocrine Tumor,NCIT:C95404,NCIT
MIXED ADENOCARCINOMA AND NEUROENDOCRINE CARCINOMA,Digestive System Mixed Adenoneuroendocrine Carcinoma,NCIT:C95406,NCIT
MIXED ACINAR-DUCTAL CARCINOMA,Pancreatic Mixed Acinar-Ductal Carcinoma,NCIT:C95458,NCIT
INTRADUCTAL TUBULOPAPILLARY NEOPLASM,Pancreatic Intraductal Tubulopapillary Neoplasm,NCIT:C95506,NCIT
ESOPHAGEAL NEUROENDOCRINE TUMOR,Esophageal Neuroendocrine Tumor,NCIT:C95616,NCIT
POORLY_COHESIVE,Gastric Poorly Cohesive Adenocarcinoma,NCIT:C95743,NCIT
GASTRIC NEUROENDOCRINE TUMOR,Gastric Neuroendocrine Tumor,NCIT:C95871,NCIT
WELL-DIFFERENTIATED NEUROENDOCRINE TUMORS OF THE STOMACH,Gastric Neuroendocrine Tumor,NCIT:C95871,NCIT
PANCREATOBILIARY AMPULLARY CARCINOMA,Ampulla of Vater Pancreatobiliary Type Adenocarcinoma,NCIT:C95963,NCIT
HIGH-GRADE NEUROENDOCRINE CARCINOMA OF THE COLON AND RECTUM,Colorectal Neuroendocrine Carcinoma,NCIT:C96156,NCIT
COLORECTAL NEUROENDOCRINE TUMOR,Colorectal Neuroendocrine Tumor,NCIT:C96159,NCIT
WELL-DIFFERENTIATED NEUROENDOCRINE TUMOR OF THE APPENDIX,Appendix Neuroendocrine Tumor,NCIT:C96422,NCIT
NESTED STROMAL EPITHELIAL TUMOR OF THE LIVER,Calcifying Nested Stromal-Epithelial Tumor,NCIT:C96830,NCIT
GALLBLADDER NEUROENDOCRINE TUMOR,Gallbladder Neuroendocrine Tumor,NCIT:C96918,NCIT
LARGE CELL NEUROENDOCRINE CARCINOMA OF GALLBLADDER,Gallbladder Large Cell Neuroendocrine Carcinoma,NCIT:C96921,NCIT
HGS,Ovarian High Grade Serous Adenocarcinoma,NCIT:C105555,NCIT
ACUTE MYELOID LEUKAEMIA (AML) AND RELATED PRECURSOR NEOPLASMS,Acute Myeloid Leukemia,NCIT:C3171,NCIT
FOCAL NEUROENDOCRINE COMPONENT,Neuroendocrine Neoplasm,NCIT:C3809,NCIT
EXTRAGONADAL GERM CELL TUMOR,Extragonadal Germ Cell Tumor,NCIT:C3918,NCIT
MALIGNANT SACROCOCCYGEAL TERATOMA,Sacrococcygeal Teratoma,NCIT:C99055,NCIT
METASTATIC CARCINOMA,Carcinoma,NCIT:C2916,NCIT
GERM CELL TUMOR (EMBRYONAL CARCINOMA),Embryonal Carcinoma,NCIT:C3752,NCIT
"ASTROCYTOMA, SUBTYPE INDETERMINATE",Astrocytoma,NCIT:C60781,NCIT
AML WITH T(6;9)(P23;Q34); DEK-NUP214,Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214,NCIT:C82423,NCIT
AML WITH INV(16)(P13.1Q22) OR T(16;16)(P13.1;Q22); CBFB-MYH11,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,NCIT:C9287,NCIT
ACUTE PROMYELOCYTIC LEUKAEMIA WITH T(15;17)(Q22;Q12); PML-RARA,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,NCIT:C3182,NCIT
AML WITH T(8;21)(Q22;Q22); RUNX1-RUNX1T1,Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1,NCIT:C9288,NCIT
AML WITH T(9;11)(P22;Q23); MLLT3-MLL,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,NCIT:C82403,NCIT
AML WITH INV(3)(Q21Q26.2) OR T(3;3)(Q21;Q26.2); RPN1-EVI1,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",NCIT:C82426,NCIT
MYELODYSPLASTIC SYNDROME ASSOCIATED WITH ISOLATED DEL(5Q),Myelodysplastic Syndrome with del(5q),NCIT:C6867,NCIT
"MIXED PHENOTYPE ACUTE LEUKAEMIA, B/MYELOID, NOS","Mixed Phenotype Acute Leukemia, B/Myeloid",NCIT:C82212,NCIT
SPECIFIC_DX_AT_ACQUISITION_MDSMPN,Myelodysplastic/Myeloproliferative Neoplasm,NCIT:C27262,NCIT
SPECIFIC DX AT ACQUISITION MDSMPN,Myelodysplastic/Myeloproliferative Neoplasm,NCIT:C27262,NCIT
NON AML MDSMPN DIAGNOSIS AT ACQUISITION,Myelodysplastic/Myeloproliferative Neoplasm,NCIT:C27262,NCIT
MDSMPN DIAGNOSIS AT ACQUISITION,Myelodysplastic/Myeloproliferative Neoplasm,NCIT:C27262,NCIT
BILIARY TRACT CANCER,Liver Carcinoma,NCIT:C7927,NCIT
"GERM CELL TUMOR, BRAIN",Childhood Brain Germ Cell Tumor,NCIT:C5795,NCIT
DISSEMINATED JUVENILE XANTHOGRANULOMA,Disseminated Juvenile Xanthogranuloma,NCIT:C81772,NCIT
MYELOID ATYPICAL,Atypical Chronic Myeloid Leukemia,NCIT:C3519,NCIT
PLEXIFORM NEUROFIBROMA,Plexiform Neurofibroma,NCIT:C3797,NCIT
NEUROFIBROMA,Neurofibroma,NCIT:C3272,NCIT
BLADDER/URINARY TRACT CANCER,Bladder Carcinoma,NCIT:C4912,NCIT
URETHRAL CANCER,Urethral Carcinoma,NCIT:C9106,NCIT
UROTHELIAL PAPILLOMA,Urothelial Papilloma,NCIT:C3842,NCIT
GOBLET CELL ADENOCARCINOMA OF THE APPENDIX,Appendix Goblet Cell Adenocarcinoma,NCIT:C3689,NCIT
COLONIC TYPE ADENOCARCINOMA OF THE APPENDIX,Appendix Adenocarcinoma,NCIT:C7718,NCIT
ANAPLASTIC LARGE-CELL LYMPHOMA ALK NEGATIVE,"Anaplastic Large Cell Lymphoma, ALK-Negative",NCIT:C37194,NCIT
ANAPLASTIC LARGE-CELL LYMPHOMA ALK POSITIVE,"Anaplastic Large Cell Lymphoma, ALK-Positive",NCIT:C37193,NCIT
MONOMORPHIC EPITHELIOTROPIC INTESTINAL T-CELL LYMPHOMA,Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma,NCIT:C96058,NCIT
NODAL PERIPHERAL T-CELL LYMPHOMA WITH TFH PHENOTYPE,Follicular Helper T-Cell Lymphoma,NCIT:C139005,NCIT
